,ts,altitude,distance,tas,gw_kg,roc
0,0.0,192.0,0.015799176921173,30.71116957564493,72266.3374572754,0.0
1,105.0,196.0,1.6767697243241355,31.33976137629036,72230.05006713867,0.0
2,210.0,196.0,3.3371588620401886,30.086175596695327,72211.90637207031,0.0
3,315.0,200.0,4.9979724450467975,30.840133606761327,72193.76267700196,0.0
4,420.0,636.0,9.459088660009265,174.0827759515127,72048.61311645508,3120.0
5,525.0,3264.0,19.248219324053764,210.38834021313988,72012.32572631836,480.0
6,630.0,6524.0,33.12018777611293,272.6130110637343,71776.45769042968,2160.0
7,736.0,10636.0,48.541203032217055,291.2995284772185,71649.45182495117,2040.0
8,841.0,12714.0,66.33724025051077,354.1373715710918,71377.29639892578,1800.0
9,946.0,15668.0,85.84758080053139,369.559485293574,71168.64390563965,1560.0
10,1051.0,18432.0,106.2054380972716,383.0460551129288,71014.4224975586,1440.0
11,1156.0,20688.0,127.32697535186476,398.0321291312819,70887.41663208009,1800.0
12,1261.0,23674.0,148.2068918922182,382.5661364922298,70760.41076660156,1080.0
13,1366.0,25584.0,169.14668563652617,392.2528849521306,70633.40490112305,1080.0
14,1471.0,27362.0,190.3719350922524,391.74460662104144,70542.68642578126,840.0
15,1576.0,28884.0,211.8085517741725,402.6273168477138,70433.8242553711,600.0
16,1681.0,30200.0,233.72745607985888,410.10371946643096,70343.1057800293,720.0
17,1786.0,31112.0,256.0934081595059,416.3479140463144,70252.3873046875,480.0
18,1891.0,32542.0,278.53879045269514,413.4310282349515,70143.52513427734,600.0
19,1997.0,33792.0,301.06338847042576,412.9131366193947,70070.9503540039,480.0
20,2102.0,34772.0,323.3580125014535,415.7334569608251,69953.01633605958,360.0
21,2207.0,35000.0,346.1849842689379,433.52472827020034,69853.2260131836,0.0
22,2312.0,35012.0,370.1468446457319,444.2737522160404,69780.65123291015,120.0
23,2417.0,35014.0,394.18820524735617,446.2199133830794,69708.07645263673,120.0
24,2522.0,34980.0,418.1661269465176,443.2693743137394,69617.35797729492,120.0
25,2627.0,35000.0,442.12072558880726,444.3802092762161,69544.78319702149,0.0
26,2732.0,35036.0,466.2311090314174,448.30949963459466,69454.0647216797,0.0
27,2837.0,34996.0,490.32750206189166,443.1915643020408,69381.48994140625,0.0
28,2942.0,34944.0,514.2202635937277,441.46311680461326,69290.77146606446,-120.0
29,3047.0,35028.0,538.181921736181,446.32149020985327,69218.19668579102,0.0
30,3152.0,35004.0,562.1957329259255,444.2158954710473,69127.47821044922,0.0
31,3258.0,35020.0,586.4975895251737,446.0703602181171,69036.75973510742,-120.0
32,3363.0,34980.0,610.5293850713603,443.8491599691008,68964.184954834,0.0
33,3468.0,34988.0,634.5591315980339,443.1338118852524,68873.46647949218,0.0
34,3573.0,34970.0,658.4418424972991,441.26334688374897,68800.89169921876,-120.0
35,3678.0,35040.0,682.5670894098238,446.4085773457264,68710.17322387695,0.0
36,3783.0,34982.0,706.5552777903046,443.2838137646316,68637.59844360352,120.0
37,3888.0,35000.0,730.5580193895478,443.99370933277805,68565.02366333008,0.0
38,3993.0,35038.0,754.655455309844,448.1311581068091,68492.44888305664,120.0
39,4098.0,34976.0,778.7226801173856,444.01346562653214,68401.73040771484,0.0
40,4203.0,34980.0,802.6594865151186,444.2355731739197,68329.1556274414,0.0
41,4308.0,35012.0,826.7047750604479,444.2737522160404,68238.43715209962,120.0
42,4413.0,35014.0,850.6840011316498,443.9016127975167,68165.86237182617,-120.0
43,4518.0,35000.0,874.7169536829689,443.2204437852548,68057.00020141603,-120.0
44,4624.0,35008.0,898.9283069027713,445.0177148515156,67966.28172607422,0.0
45,4729.0,34992.0,922.899899634457,444.1291267267467,67911.85064086915,0.0
46,4834.0,35012.0,946.9276757287996,443.3070953354519,67839.2758605957,0.0
47,4939.0,34992.0,970.8505243710728,443.5493292783216,67748.55738525391,0.0
48,5044.0,35008.0,994.811582288674,443.2782093018544,67675.98260498047,0.0
49,5149.0,35014.0,1018.7935376267768,443.7082770788446,67621.5515197754,-120.0
50,5254.0,35024.0,1042.8474084501547,446.871606884405,67530.83304443359,0.0
51,5359.0,34966.0,1066.796163706274,436.196465335112,67458.25826416016,-120.0
52,5464.0,34996.0,1090.5633483876622,442.2245277736647,67367.53978881837,0.0
53,5569.0,35018.0,1114.625747954291,443.5438172087584,67294.96500854492,-120.0
54,5674.0,35000.0,1138.5344134243956,443.8004261541848,67240.53392333984,-120.0
55,5779.0,35012.0,1162.5368104076908,445.6261414508314,67149.81544799806,0.0
56,5885.0,34972.0,1186.6836351729692,443.0183332472595,67077.2406677246,0.0
