,ts,x,y,altitude,mach,tas,vertical_rate,heading,mass,fuel,takeoff_mass,flight_distance
0,0.0,0,0,1500,0.3,197,1273,90,62500,310,62500,2280
1,223.0,0,0,6200,0.5,324,1773,90,62190,310,62500,2280
2,446.0,0,0,12800,0.6995,442,2273,90,61880,350,62500,2280
3,669.0,0,0,21300,0.7707,471,1773,90,61560,300,62500,2280
4,892.0,0,0,27900,0.806,479,1273,90,61270,250,62500,2280
5,1116.0,0,0,32600,0.8062,470,773,90,61030,210,62500,2280
6,1339.0,0,0,35500,0.8044,463,273,90,60820,180,62500,2280
7,1562.0,0,0,36500,0.791,454,0,90,60630,170,62500,2280
8,1785.0,0,0,36500,0.7972,457,18,90,60460,170,62500,2280
9,2008.0,0,0,36600,0.7988,458,24,90,60300,170,62500,2280
10,2231.0,0,0,36600,0.7991,458,24,90,60130,170,62500,2280
11,2454.0,0,0,36700,0.7993,458,24,90,59960,170,62500,2280
12,2677.0,0,0,36800,0.7995,459,24,90,59790,170,62500,2280
13,2900.0,0,0,36900,0.7997,459,24,90,59620,170,62500,2280
14,3124.0,0,0,37000,0.7999,459,24,90,59450,170,62500,2280
15,3347.0,0,0,37100,0.8001,459,24,90,59290,170,62500,2280
16,3570.0,0,0,37200,0.8003,459,24,90,59120,160,62500,2280
17,3793.0,0,0,37300,0.8005,459,24,90,58950,160,62500,2280
18,4016.0,0,0,37400,0.8008,459,24,90,58790,160,62500,2280
19,4239.0,0,0,37400,0.801,459,23,90,58620,160,62500,2280
20,4462.0,0,0,37500,0.8012,460,23,90,58450,160,62500,2280
21,4685.0,0,0,37600,0.8013,460,23,90,58290,160,62500,2280
22,4908.0,0,0,37700,0.8015,460,23,90,58120,160,62500,2280
23,5132.0,0,0,37800,0.8017,460,23,90,57960,160,62500,2280
24,5355.0,0,0,37900,0.8019,460,23,90,57790,160,62500,2280
25,5578.0,0,0,38000,0.8021,460,23,90,57630,160,62500,2280
26,5801.0,0,0,38000,0.8023,460,23,90,57470,160,62500,2280
27,6024.0,0,0,38100,0.8025,460,23,90,57300,160,62500,2280
28,6247.0,0,0,38200,0.8027,460,23,90,57140,160,62500,2280
29,6470.0,0,0,38300,0.8028,460,23,90,56980,160,62500,2280
30,6693.0,0,0,38400,0.803,461,23,90,56810,160,62500,2280
31,6917.0,0,0,38500,0.8032,461,23,90,56650,160,62500,2280
32,7140.0,0,0,38600,0.8034,461,23,90,56490,160,62500,2280
33,7363.0,0,0,38600,0.8036,461,23,90,56330,160,62500,2280
34,7586.0,0,0,38700,0.8037,461,23,90,56170,160,62500,2280
35,7809.0,0,0,38800,0.8039,461,23,90,56000,160,62500,2280
36,8032.0,0,0,38900,0.8041,461,23,90,55840,160,62500,2280
37,8255.0,0,0,39000,0.8042,461,28,90,55680,160,62500,2280
38,8478.0,0,0,39100,0.8025,460,-322,90,55520,140,62500,2280
39,8701.0,0,0,37900,0.804,461,-822,90,55380,130,62500,2280
40,8925.0,0,0,34800,0.7974,460,-1322,90,55240,120,62500,2280
41,9148.0,0,0,29900,0.7554,445,-1822,90,55120,110,62500,2280
42,9371.0,0,0,23100,0.6666,404,-2322,90,55000,100,62500,2280
43,9594.0,0,0,14500,0.5,314,-2000,90,54890,90,62500,2280
44,9817.0,0,0,7100,0.3,194,-1500,90,54800,80,62500,2280
45,10040.0,0,0,1500,0.1,66,-1000,90,54720,240,62500,2280
