,ts,x,y,altitude,mach,tas,vertical_rate,heading,mass,fuel,takeoff_mass,flight_distance
0,0.0,0,0,1500,0.3,197,1318,90,62500,300,62500,4150
1,216.0,0,0,6200,0.5,324,1818,90,62190,300,62500,4150
2,432.0,0,0,12800,0.6991,442,2318,90,61900,340,62500,4150
3,647.0,0,0,21100,0.7693,471,1818,90,61580,290,62500,4150
4,863.0,0,0,27700,0.8055,480,1318,90,61300,250,62500,4150
5,1079.0,0,0,32400,0.8058,470,818,90,61060,210,62500,4150
6,1295.0,0,0,35300,0.804,463,318,90,60850,180,62500,4150
7,1511.0,0,0,36500,0.7903,453,0,90,60670,160,62500,4150
8,1726.0,0,0,36500,0.7964,457,17,90,60510,160,62500,4150
9,1942.0,0,0,36500,0.7981,458,24,90,60350,160,62500,4150
10,2158.0,0,0,36600,0.7983,458,24,90,60180,160,62500,4150
11,2374.0,0,0,36700,0.7986,458,24,90,60020,160,62500,4150
12,2590.0,0,0,36800,0.7988,458,24,90,59860,160,62500,4150
13,2805.0,0,0,36900,0.799,458,24,90,59700,160,62500,4150
14,3021.0,0,0,37000,0.7992,458,24,90,59530,160,62500,4150
15,3237.0,0,0,37100,0.7994,459,24,90,59370,160,62500,4150
16,3453.0,0,0,37100,0.7996,459,24,90,59210,160,62500,4150
17,3669.0,0,0,37200,0.7998,459,24,90,59050,160,62500,4150
18,3885.0,0,0,37300,0.8,459,24,90,58890,160,62500,4150
19,4100.0,0,0,37400,0.8002,459,23,90,58730,160,62500,4150
20,4316.0,0,0,37500,0.8004,459,23,90,58570,160,62500,4150
21,4532.0,0,0,37600,0.8006,459,23,90,58410,160,62500,4150
22,4748.0,0,0,37600,0.8008,459,23,90,58250,160,62500,4150
23,4964.0,0,0,37700,0.801,459,23,90,58090,160,62500,4150
24,5179.0,0,0,37800,0.8011,460,23,90,57930,160,62500,4150
25,5395.0,0,0,37900,0.8013,460,23,90,57770,160,62500,4150
26,5611.0,0,0,38000,0.8015,460,23,90,57610,160,62500,4150
27,5827.0,0,0,38100,0.8017,460,23,90,57450,160,62500,4150
28,6043.0,0,0,38100,0.8019,460,23,90,57290,160,62500,4150
29,6258.0,0,0,38200,0.802,460,23,90,57140,160,62500,4150
30,6474.0,0,0,38300,0.8022,460,23,90,56980,160,62500,4150
31,6690.0,0,0,38400,0.8024,460,23,90,56820,150,62500,4150
32,6906.0,0,0,38500,0.8026,460,23,90,56660,150,62500,4150
33,7122.0,0,0,38600,0.8027,460,23,90,56510,150,62500,4150
34,7337.0,0,0,38600,0.8029,461,23,90,56350,150,62500,4150
35,7553.0,0,0,38700,0.8031,461,23,90,56200,150,62500,4150
36,7769.0,0,0,38800,0.8032,461,23,90,56040,150,62500,4150
37,7985.0,0,0,38900,0.8034,461,23,90,55880,150,62500,4150
38,8201.0,0,0,39000,0.8036,461,23,90,55730,150,62500,4150
39,8416.0,0,0,39000,0.8037,461,23,90,55570,150,62500,4150
40,8632.0,0,0,39100,0.8039,461,22,90,55420,150,62500,4150
41,8848.0,0,0,39200,0.8041,461,22,90,55260,150,62500,4150
42,9064.0,0,0,39300,0.8042,461,22,90,55110,150,62500,4150
43,9280.0,0,0,39400,0.8044,461,22,90,54960,150,62500,4150
44,9495.0,0,0,39500,0.8045,461,22,90,54800,150,62500,4150
45,9711.0,0,0,39500,0.8047,462,22,90,54650,150,62500,4150
46,9927.0,0,0,39600,0.8048,462,22,90,54500,150,62500,4150
47,10143.0,0,0,39700,0.805,462,22,90,54340,150,62500,4150
48,10359.0,0,0,39800,0.8051,462,22,90,54190,150,62500,4150
49,10575.0,0,0,39800,0.8053,462,22,90,54040,150,62500,4150
50,10790.0,0,0,39900,0.8054,462,22,90,53890,150,62500,4150
51,11006.0,0,0,40000,0.8056,462,22,90,53740,150,62500,4150
52,11222.0,0,0,40100,0.8057,462,22,90,53590,150,62500,4150
53,11438.0,0,0,40200,0.8059,462,22,90,53440,150,62500,4150
54,11654.0,0,0,40200,0.806,462,22,90,53280,150,62500,4150
55,11869.0,0,0,40300,0.8062,462,22,90,53130,150,62500,4150
56,12085.0,0,0,40400,0.8063,462,22,90,52980,150,62500,4150
57,12301.0,0,0,40500,0.8065,463,22,90,52830,150,62500,4150
58,12517.0,0,0,40600,0.8066,463,22,90,52680,150,62500,4150
59,12733.0,0,0,40600,0.8068,463,22,90,52530,150,62500,4150
60,12948.0,0,0,40700,0.8069,463,22,90,52380,150,62500,4150
61,13164.0,0,0,40800,0.8071,463,22,90,52240,150,62500,4150
62,13380.0,0,0,40900,0.8072,463,22,90,52090,150,62500,4150
63,13596.0,0,0,40900,0.8073,463,18,90,51940,150,62500,4150
64,13812.0,0,0,41000,0.8086,464,0,90,51790,140,62500,4150
65,14027.0,0,0,41000,0.8087,464,0,90,51640,140,62500,4150
66,14243.0,0,0,41000,0.8087,464,0,90,51500,140,62500,4150
67,14459.0,0,0,41000,0.8088,464,0,90,51350,140,62500,4150
68,14675.0,0,0,41000,0.8089,464,0,90,51200,140,62500,4150
69,14891.0,0,0,41000,0.8089,464,0,90,51060,140,62500,4150
70,15106.0,0,0,41000,0.809,464,0,90,50910,140,62500,4150
71,15322.0,0,0,41000,0.8091,464,0,90,50760,140,62500,4150
72,15538.0,0,0,41000,0.8091,464,0,90,50620,140,62500,4150
73,15754.0,0,0,41000,0.8092,464,0,90,50470,140,62500,4150
74,15970.0,0,0,41000,0.8093,464,0,90,50320,140,62500,4150
75,16186.0,0,0,41000,0.8094,464,0,90,50180,140,62500,4150
