,ts,x,y,altitude,mach,tas,vertical_rate,heading,mass,fuel,takeoff_mass,flight_distance
0,0.0,0,0,1500,0.3,197,1284,90,62500,310,62500,2570
1,221.0,0,0,6200,0.5,324,1784,90,62190,310,62500,2570
2,443.0,0,0,12800,0.6994,442,2284,90,61890,340,62500,2570
3,664.0,0,0,21200,0.7704,471,1784,90,61560,300,62500,2570
4,885.0,0,0,27800,0.8059,479,1284,90,61280,250,62500,2570
5,1106.0,0,0,32500,0.8061,470,784,90,61040,210,62500,2570
6,1328.0,0,0,35400,0.8043,463,284,90,60820,180,62500,2570
7,1549.0,0,0,36500,0.7908,454,0,90,60640,160,62500,2570
8,1770.0,0,0,36500,0.797,457,18,90,60480,170,62500,2570
9,1992.0,0,0,36600,0.7987,458,24,90,60310,170,62500,2570
10,2213.0,0,0,36600,0.7989,458,24,90,60140,170,62500,2570
11,2434.0,0,0,36700,0.7991,458,24,90,59970,170,62500,2570
12,2655.0,0,0,36800,0.7993,458,24,90,59810,160,62500,2570
13,2877.0,0,0,36900,0.7995,459,24,90,59640,160,62500,2570
14,3098.0,0,0,37000,0.7997,459,24,90,59470,160,62500,2570
15,3319.0,0,0,37100,0.7999,459,24,90,59310,160,62500,2570
16,3540.0,0,0,37200,0.8002,459,24,90,59140,160,62500,2570
17,3762.0,0,0,37300,0.8004,459,24,90,58980,160,62500,2570
18,3983.0,0,0,37300,0.8006,459,24,90,58810,160,62500,2570
19,4204.0,0,0,37400,0.8008,459,23,90,58650,160,62500,2570
20,4426.0,0,0,37500,0.801,459,23,90,58480,160,62500,2570
21,4647.0,0,0,37600,0.8012,460,23,90,58320,160,62500,2570
22,4868.0,0,0,37700,0.8013,460,23,90,58150,160,62500,2570
23,5089.0,0,0,37800,0.8015,460,23,90,57990,160,62500,2570
24,5311.0,0,0,37900,0.8017,460,23,90,57830,160,62500,2570
25,5532.0,0,0,37900,0.8019,460,23,90,57660,160,62500,2570
26,5753.0,0,0,38000,0.8021,460,23,90,57500,160,62500,2570
27,5975.0,0,0,38100,0.8023,460,23,90,57340,160,62500,2570
28,6196.0,0,0,38200,0.8025,460,23,90,57180,160,62500,2570
29,6417.0,0,0,38300,0.8026,460,23,90,57020,160,62500,2570
30,6638.0,0,0,38400,0.8028,460,23,90,56860,160,62500,2570
31,6860.0,0,0,38500,0.803,461,23,90,56690,160,62500,2570
32,7081.0,0,0,38500,0.8032,461,23,90,56530,160,62500,2570
33,7302.0,0,0,38600,0.8033,461,23,90,56370,160,62500,2570
34,7524.0,0,0,38700,0.8035,461,23,90,56210,160,62500,2570
35,7745.0,0,0,38800,0.8037,461,23,90,56050,160,62500,2570
36,7966.0,0,0,38900,0.8039,461,23,90,55890,160,62500,2570
37,8187.0,0,0,39000,0.804,461,23,90,55730,160,62500,2570
38,8409.0,0,0,39000,0.8042,461,23,90,55580,160,62500,2570
39,8630.0,0,0,39100,0.8044,461,22,90,55420,160,62500,2570
40,8851.0,0,0,39200,0.8045,461,22,90,55260,160,62500,2570
41,9073.0,0,0,39300,0.8047,462,22,90,55100,160,62500,2570
42,9294.0,0,0,39400,0.8048,462,22,90,54940,160,62500,2570
43,9515.0,0,0,39500,0.805,462,26,90,54780,150,62500,2570
44,9736.0,0,0,39600,0.8036,461,-364,90,54630,140,62500,2570
45,9958.0,0,0,38200,0.8047,462,-864,90,54480,130,62500,2570
46,10179.0,0,0,35000,0.7978,460,-1364,90,54350,120,62500,2570
47,10400.0,0,0,30000,0.754,444,-1864,90,54230,110,62500,2570
48,10621.0,0,0,23100,0.6646,403,-2364,90,54120,100,62500,2570
49,10843.0,0,0,14400,0.5,314,-2000,90,54010,90,62500,2570
50,11064.0,0,0,7000,0.3,194,-1500,90,53920,80,62500,2570
51,11285.0,0,0,1500,0.1,66,-1000,90,53830,230,62500,2570
