,ts,x,y,altitude,mach,tas,vertical_rate,heading,mass,fuel,takeoff_mass,flight_distance
0,0.0,0,0,1500,0.3,197,1451,90,55140,290,55140,2970
1,218.0,0,0,6800,0.5,323,1951,90,54850,290,55140,2970
2,436.0,0,0,13900,0.7,440,2451,90,54560,330,55140,2970
3,654.0,0,0,22800,0.7984,485,1951,90,54260,280,55140,2970
4,872.0,0,0,29800,0.8075,476,1451,90,53990,230,55140,2970
5,1090.0,0,0,35100,0.8092,466,951,90,53770,200,55140,2970
6,1308.0,0,0,38600,0.8087,464,451,90,53570,170,55140,2970
7,1526.0,0,0,40200,0.802,460,13,90,53400,150,55140,2970
8,1744.0,0,0,40300,0.8065,463,22,90,53250,150,55140,2970
9,1962.0,0,0,40300,0.8066,463,22,90,53100,150,55140,2970
10,2179.0,0,0,40400,0.8068,463,22,90,52950,150,55140,2970
11,2397.0,0,0,40500,0.8069,463,22,90,52800,150,55140,2970
12,2615.0,0,0,40600,0.8071,463,22,90,52640,150,55140,2970
13,2833.0,0,0,40700,0.8072,463,22,90,52490,150,55140,2970
14,3051.0,0,0,40700,0.8074,463,22,90,52340,150,55140,2970
15,3269.0,0,0,40800,0.8075,463,22,90,52190,150,55140,2970
16,3487.0,0,0,40900,0.8076,463,22,90,52040,150,55140,2970
17,3705.0,0,0,41000,0.8078,463,11,90,51890,150,55140,2970
18,3923.0,0,0,41000,0.809,464,0,90,51740,150,55140,2970
19,4141.0,0,0,41000,0.8091,464,0,90,51590,150,55140,2970
20,4359.0,0,0,41000,0.8092,464,0,90,51440,150,55140,2970
21,4577.0,0,0,41000,0.8092,464,0,90,51300,150,55140,2970
22,4795.0,0,0,41000,0.8093,464,0,90,51150,150,55140,2970
23,5013.0,0,0,41000,0.8094,464,0,90,51000,150,55140,2970
24,5231.0,0,0,41000,0.8095,464,0,90,50850,150,55140,2970
25,5449.0,0,0,41000,0.8095,464,0,90,50700,140,55140,2970
26,5667.0,0,0,41000,0.8096,464,0,90,50560,140,55140,2970
27,5885.0,0,0,41000,0.8097,464,0,90,50410,140,55140,2970
28,6102.0,0,0,41000,0.8097,464,0,90,50260,140,55140,2970
29,6320.0,0,0,41000,0.8098,464,0,90,50110,140,55140,2970
30,6538.0,0,0,41000,0.8099,465,0,90,49970,140,55140,2970
31,6756.0,0,0,41000,0.81,465,0,90,49820,140,55140,2970
32,6974.0,0,0,41000,0.81,465,0,90,49670,140,55140,2970
33,7192.0,0,0,41000,0.8101,465,0,90,49530,140,55140,2970
34,7410.0,0,0,41000,0.8102,465,0,90,49380,140,55140,2970
35,7628.0,0,0,41000,0.8103,465,0,90,49240,140,55140,2970
36,7846.0,0,0,41000,0.8103,465,0,90,49090,140,55140,2970
37,8064.0,0,0,41000,0.8104,465,0,90,48940,140,55140,2970
38,8282.0,0,0,41000,0.8105,465,0,90,48800,140,55140,2970
39,8500.0,0,0,41000,0.8105,465,0,90,48650,140,55140,2970
40,8718.0,0,0,41000,0.8106,465,0,90,48510,140,55140,2970
41,8936.0,0,0,41000,0.8107,465,0,90,48360,140,55140,2970
42,9154.0,0,0,41000,0.8108,465,0,90,48220,140,55140,2970
43,9372.0,0,0,41000,0.8108,465,0,90,48070,140,55140,2970
44,9590.0,0,0,41000,0.8109,465,0,90,47930,140,55140,2970
45,9808.0,0,0,41000,0.811,465,0,90,47780,140,55140,2970
46,10025.0,0,0,41000,0.8111,465,0,90,47640,140,55140,2970
47,10243.0,0,0,41000,0.8111,465,0,90,47500,140,55140,2970
48,10461.0,0,0,41000,0.8112,465,0,90,47350,140,55140,2970
49,10679.0,0,0,41000,0.8113,465,0,90,47210,140,55140,2970
50,10897.0,0,0,41000,0.8114,465,0,90,47070,140,55140,2970
51,11115.0,0,0,41000,0.8114,465,0,90,46920,140,55140,2970
52,11333.0,0,0,41000,0.8114,465,-475,90,46780,130,55140,2970
53,11551.0,0,0,39300,0.8093,464,-975,90,46650,120,55140,2970
54,11769.0,0,0,35700,0.7987,459,-1475,90,46530,110,55140,2970
55,11987.0,0,0,30400,0.7352,433,-1975,90,46410,100,55140,2970
56,12205.0,0,0,23200,0.6419,389,-2475,90,46300,90,55140,2970
57,12423.0,0,0,14200,0.5,314,-2000,90,46200,90,55140,2970
58,12641.0,0,0,6900,0.3,194,-1500,90,46100,80,55140,2970
59,12859.0,0,0,1500,0.1,66,-1000,90,46020,140,55140,2970
