,ts,x,y,altitude,mach,tas,vertical_rate,heading,mass,fuel,takeoff_mass,flight_distance
0,0.0,0,0,1500,0.3,197,1465,90,54470,280,54470,2970
1,218.0,0,0,6800,0.5,323,1965,90,54180,290,54470,2970
2,436.0,0,0,14000,0.7,440,2465,90,53900,320,54470,2970
3,654.0,0,0,22900,0.7983,485,1965,90,53600,280,54470,2970
4,871.0,0,0,30000,0.8077,476,1465,90,53330,230,54470,2970
5,1089.0,0,0,35400,0.8095,466,965,90,53100,200,54470,2970
6,1307.0,0,0,38900,0.8091,464,465,90,52910,170,54470,2970
7,1525.0,0,0,40600,0.803,461,14,90,52740,150,54470,2970
8,1743.0,0,0,40600,0.8071,463,22,90,52590,150,54470,2970
9,1961.0,0,0,40700,0.8073,463,22,90,52440,150,54470,2970
10,2179.0,0,0,40800,0.8074,463,22,90,52290,150,54470,2970
11,2397.0,0,0,40800,0.8076,463,22,90,52140,150,54470,2970
12,2614.0,0,0,40900,0.8077,463,22,90,51990,150,54470,2970
13,2832.0,0,0,41000,0.8078,463,4,90,51840,150,54470,2970
14,3050.0,0,0,41000,0.8091,464,0,90,51690,150,54470,2970
15,3268.0,0,0,41000,0.8091,464,0,90,51540,150,54470,2970
16,3486.0,0,0,41000,0.8092,464,0,90,51400,150,54470,2970
17,3704.0,0,0,41000,0.8093,464,0,90,51250,150,54470,2970
18,3922.0,0,0,41000,0.8093,464,0,90,51100,150,54470,2970
19,4139.0,0,0,41000,0.8094,464,0,90,50950,150,54470,2970
20,4357.0,0,0,41000,0.8095,464,0,90,50800,150,54470,2970
21,4575.0,0,0,41000,0.8096,464,0,90,50660,140,54470,2970
22,4793.0,0,0,41000,0.8096,464,0,90,50510,140,54470,2970
23,5011.0,0,0,41000,0.8097,464,0,90,50360,140,54470,2970
24,5229.0,0,0,41000,0.8098,464,0,90,50210,140,54470,2970
25,5447.0,0,0,41000,0.8098,464,0,90,50070,140,54470,2970
26,5665.0,0,0,41000,0.8099,465,0,90,49920,140,54470,2970
27,5882.0,0,0,41000,0.81,465,0,90,49770,140,54470,2970
28,6100.0,0,0,41000,0.8101,465,0,90,49630,140,54470,2970
29,6318.0,0,0,41000,0.8101,465,0,90,49480,140,54470,2970
30,6536.0,0,0,41000,0.8102,465,0,90,49330,140,54470,2970
31,6754.0,0,0,41000,0.8103,465,0,90,49190,140,54470,2970
32,6972.0,0,0,41000,0.8104,465,0,90,49040,140,54470,2970
33,7190.0,0,0,41000,0.8104,465,0,90,48900,140,54470,2970
34,7407.0,0,0,41000,0.8105,465,0,90,48750,140,54470,2970
35,7625.0,0,0,41000,0.8106,465,0,90,48610,140,54470,2970
36,7843.0,0,0,41000,0.8107,465,0,90,48460,140,54470,2970
37,8061.0,0,0,41000,0.8107,465,0,90,48320,140,54470,2970
38,8279.0,0,0,41000,0.8108,465,0,90,48170,140,54470,2970
39,8497.0,0,0,41000,0.8109,465,0,90,48030,140,54470,2970
40,8715.0,0,0,41000,0.811,465,0,90,47880,140,54470,2970
41,8932.0,0,0,41000,0.811,465,0,90,47740,140,54470,2970
42,9150.0,0,0,41000,0.8111,465,0,90,47590,140,54470,2970
43,9368.0,0,0,41000,0.8112,465,0,90,47450,140,54470,2970
44,9586.0,0,0,41000,0.8113,465,0,90,47310,140,54470,2970
45,9804.0,0,0,41000,0.8113,465,0,90,47160,140,54470,2970
46,10022.0,0,0,41000,0.8114,465,0,90,47020,140,54470,2970
47,10240.0,0,0,41000,0.8115,465,0,90,46880,140,54470,2970
48,10458.0,0,0,41000,0.8116,465,0,90,46730,140,54470,2970
49,10675.0,0,0,41000,0.8116,466,0,90,46590,140,54470,2970
50,10893.0,0,0,41000,0.8117,466,0,90,46450,140,54470,2970
51,11111.0,0,0,41000,0.8118,466,0,90,46300,140,54470,2970
52,11329.0,0,0,41000,0.8117,466,-476,90,46160,130,54470,2970
53,11547.0,0,0,39300,0.8095,464,-976,90,46030,120,54470,2970
54,11765.0,0,0,35700,0.7984,459,-1476,90,45910,110,54470,2970
55,11983.0,0,0,30400,0.733,431,-1976,90,45790,100,54470,2970
56,12200.0,0,0,23200,0.6397,388,-2476,90,45680,90,54470,2970
57,12418.0,0,0,14200,0.5,314,-2000,90,45580,90,54470,2970
58,12636.0,0,0,6900,0.3,194,-1500,90,45490,80,54470,2970
59,12854.0,0,0,1500,0.1,66,-1000,90,45400,140,54470,2970
