,ts,x,y,altitude,mach,tas,vertical_rate,heading,mass,fuel,takeoff_mass,flight_distance
0,0.0,0,0,1500,0.1163,77,2411,90,74540,350,74540,3660
1,224.0,0,0,10500,0.3163,202,1911,90,74540,440,74540,3660
2,447.0,0,0,17600,0.5163,320,1411,90,74100,300,74540,3660
3,671.0,0,0,22900,0.7163,435,911,90,73790,260,74540,3660
4,895.0,0,0,26300,0.7288,436,411,90,73540,220,74540,3660
5,1119.0,0,0,27800,0.7164,426,0,90,73320,190,74540,3660
6,1342.0,0,0,27800,0.7197,428,0,90,73120,190,74540,3660
7,1566.0,0,0,27800,0.7229,430,0,90,72930,190,74540,3660
8,1790.0,0,0,27800,0.7259,432,26,90,72740,190,74540,3660
9,2013.0,0,0,27900,0.7276,433,34,90,72550,190,74540,3660
10,2237.0,0,0,28000,0.729,433,34,90,72350,190,74540,3660
11,2461.0,0,0,28200,0.7304,434,34,90,72160,190,74540,3660
12,2684.0,0,0,28300,0.7318,434,34,90,71960,190,74540,3660
13,2908.0,0,0,28400,0.7332,435,34,90,71770,190,74540,3660
14,3132.0,0,0,28500,0.7346,436,34,90,71580,190,74540,3660
15,3356.0,0,0,28700,0.736,436,33,90,71390,190,74540,3660
16,3579.0,0,0,28800,0.7374,437,33,90,71200,190,74540,3660
17,3803.0,0,0,28900,0.7388,437,33,90,71000,190,74540,3660
18,4027.0,0,0,29000,0.7402,438,33,90,70810,190,74540,3660
19,4250.0,0,0,29200,0.7416,439,33,90,70620,190,74540,3660
20,4474.0,0,0,29300,0.743,439,33,90,70430,190,74540,3660
21,4698.0,0,0,29400,0.7444,440,33,90,70240,190,74540,3660
22,4922.0,0,0,29500,0.7458,440,33,90,70050,190,74540,3660
23,5145.0,0,0,29600,0.7472,441,12,90,69860,190,74540,3660
24,5369.0,0,0,29700,0.7496,442,406,90,69680,210,74540,3660
25,5593.0,0,0,31200,0.7936,465,122,90,69470,200,74540,3660
26,5816.0,0,0,31700,0.7855,460,23,90,69270,190,74540,3660
27,6040.0,0,0,31700,0.7864,460,28,90,69080,190,74540,3660
28,6264.0,0,0,31900,0.7868,460,28,90,68890,190,74540,3660
29,6488.0,0,0,32000,0.7872,460,28,90,68700,190,74540,3660
30,6711.0,0,0,32100,0.7877,460,28,90,68520,190,74540,3660
31,6935.0,0,0,32200,0.7881,460,27,90,68330,190,74540,3660
32,7159.0,0,0,32300,0.7885,460,27,90,68140,190,74540,3660
33,7382.0,0,0,32400,0.7889,460,27,90,67950,190,74540,3660
34,7606.0,0,0,32500,0.7893,460,27,90,67770,190,74540,3660
35,7830.0,0,0,32600,0.7897,460,27,90,67580,180,74540,3660
36,8053.0,0,0,32700,0.79,460,27,90,67400,180,74540,3660
37,8277.0,0,0,32800,0.7904,460,27,90,67210,180,74540,3660
38,8501.0,0,0,32900,0.7908,460,27,90,67030,180,74540,3660
39,8725.0,0,0,33000,0.7911,460,27,90,66840,180,74540,3660
40,8948.0,0,0,33100,0.7915,460,27,90,66660,180,74540,3660
41,9172.0,0,0,33200,0.7918,460,27,90,66470,180,74540,3660
42,9396.0,0,0,33300,0.7922,460,27,90,66290,180,74540,3660
43,9619.0,0,0,33400,0.7925,460,27,90,66110,180,74540,3660
44,9843.0,0,0,33500,0.7928,460,27,90,65920,180,74540,3660
45,10067.0,0,0,33600,0.7931,460,27,90,65740,180,74540,3660
46,10291.0,0,0,33700,0.7934,460,27,90,65560,180,74540,3660
47,10514.0,0,0,33800,0.7938,460,27,90,65380,180,74540,3660
48,10738.0,0,0,33900,0.7941,460,26,90,65200,180,74540,3660
49,10962.0,0,0,34000,0.7944,460,26,90,65020,180,74540,3660
50,11185.0,0,0,34100,0.7946,460,26,90,64840,180,74540,3660
51,11409.0,0,0,34200,0.7949,460,26,90,64660,180,74540,3660
52,11633.0,0,0,34300,0.7952,460,26,90,64480,180,74540,3660
53,11856.0,0,0,34400,0.7955,460,26,90,64300,180,74540,3660
54,12080.0,0,0,34500,0.7958,460,26,90,64120,180,74540,3660
55,12304.0,0,0,34600,0.796,460,26,90,63940,180,74540,3660
56,12528.0,0,0,34700,0.7963,460,26,90,63770,180,74540,3660
57,12751.0,0,0,34800,0.7965,460,26,90,63590,180,74540,3660
58,12975.0,0,0,34800,0.7968,460,26,90,63410,180,74540,3660
59,13199.0,0,0,34900,0.797,460,26,90,63240,170,74540,3660
60,13422.0,0,0,35000,0.7973,459,26,90,63060,170,74540,3660
61,13646.0,0,0,35100,0.7975,459,25,90,62880,170,74540,3660
62,13870.0,0,0,35200,0.7978,459,25,90,62710,170,74540,3660
63,14094.0,0,0,35300,0.798,459,25,90,62530,170,74540,3660
64,14317.0,0,0,35400,0.7982,459,25,90,62360,170,74540,3660
65,14541.0,0,0,35500,0.7985,459,37,90,62180,170,74540,3660
66,14765.0,0,0,35700,0.7964,458,-194,90,62010,160,74540,3660
67,14988.0,0,0,34900,0.7974,460,-694,90,61850,140,74540,3660
68,15212.0,0,0,32300,0.7883,460,-1194,90,61700,130,74540,3660
69,15436.0,0,0,27900,0.739,439,-1694,90,61570,110,74540,3660
70,15660.0,0,0,21600,0.6623,404,-2194,90,61450,100,74540,3660
71,15883.0,0,0,13400,0.5,315,-1845,90,61340,90,74540,3660
72,16107.0,0,0,6500,0.3,194,-1345,90,61240,90,74540,3660
73,16331.0,0,0,1500,0.1,66,-845,90,61160,370,74540,3660
