,ts,x,y,altitude,mach,tas,vertical_rate,heading,mass,fuel,takeoff_mass,flight_distance
0,0.0,0,0,1500,0.3,197,992,90,72540,320,72540,2180
1,226.0,0,0,5200,0.5,325,1492,90,72210,320,72540,2180
2,451.0,0,0,10800,0.6655,424,1992,90,71890,360,72540,2180
3,677.0,0,0,18300,0.7184,444,1492,90,71550,310,72540,2180
4,902.0,0,0,23900,0.7476,452,992,90,71250,270,72540,2180
5,1128.0,0,0,27700,0.7493,446,492,90,70990,220,72540,2180
6,1353.0,0,0,29500,0.7331,433,0,90,70770,190,72540,2180
7,1579.0,0,0,29500,0.7367,435,0,90,70580,190,72540,2180
8,1804.0,0,0,29500,0.7401,437,306,90,70390,210,72540,2180
9,2030.0,0,0,30700,0.7945,467,157,90,70190,200,72540,2180
10,2255.0,0,0,31300,0.7841,460,21,90,69980,190,72540,2180
11,2481.0,0,0,31300,0.7853,460,28,90,69790,190,72540,2180
12,2706.0,0,0,31400,0.7858,460,28,90,69600,190,72540,2180
13,2932.0,0,0,31500,0.7862,460,28,90,69410,190,72540,2180
14,3157.0,0,0,31700,0.7867,460,28,90,69220,190,72540,2180
15,3383.0,0,0,31800,0.7871,460,28,90,69020,190,72540,2180
16,3608.0,0,0,31900,0.7876,460,28,90,68830,190,72540,2180
17,3834.0,0,0,32000,0.788,460,28,90,68640,190,72540,2180
18,4059.0,0,0,32100,0.7884,460,28,90,68460,190,72540,2180
19,4285.0,0,0,32200,0.7888,460,28,90,68270,190,72540,2180
20,4510.0,0,0,32300,0.7892,460,28,90,68080,190,72540,2180
21,4736.0,0,0,32400,0.7896,461,27,90,67890,190,72540,2180
22,4962.0,0,0,32500,0.79,461,27,90,67700,190,72540,2180
23,5187.0,0,0,32600,0.7904,461,27,90,67510,190,72540,2180
24,5413.0,0,0,32700,0.7908,461,27,90,67330,190,72540,2180
25,5638.0,0,0,32800,0.7911,461,27,90,67140,190,72540,2180
26,5864.0,0,0,32900,0.7915,461,27,90,66950,180,72540,2180
27,6089.0,0,0,33000,0.7919,461,27,90,66770,180,72540,2180
28,6315.0,0,0,33100,0.7922,461,27,90,66580,180,72540,2180
29,6540.0,0,0,33200,0.7926,461,27,90,66400,180,72540,2180
30,6766.0,0,0,33300,0.7929,461,27,90,66210,180,72540,2180
31,6991.0,0,0,33400,0.7932,461,27,90,66030,180,72540,2180
32,7217.0,0,0,33500,0.7936,461,27,90,65840,180,72540,2180
33,7442.0,0,0,33600,0.7939,460,27,90,65660,180,72540,2180
34,7668.0,0,0,33700,0.7942,460,26,90,65480,180,72540,2180
35,7893.0,0,0,33800,0.7946,460,54,90,65300,180,72540,2180
36,8119.0,0,0,34000,0.7908,458,-114,90,65110,170,72540,2180
37,8344.0,0,0,33600,0.7956,462,-614,90,64940,150,72540,2180
38,8570.0,0,0,31300,0.7857,460,-1114,90,64780,130,72540,2180
39,8795.0,0,0,27100,0.7359,439,-1614,90,64640,120,72540,2180
40,9021.0,0,0,21000,0.6627,405,-2114,90,64520,100,72540,2180
41,9246.0,0,0,13100,0.5,316,-1790,90,64410,90,72540,2180
42,9472.0,0,0,6400,0.3,194,-1290,90,64310,90,72540,2180
43,9698.0,0,0,1500,0.1,66,-790,90,64220,430,72540,2180
