,ts,x,y,altitude,mach,tas,vertical_rate,heading,mass,fuel,takeoff_mass,flight_distance
0,0.0,0,0,1500,0.3,197,1218,90,63170,310,63170,1590
1,230.0,0,0,6200,0.5,324,1718,90,62850,320,63170,1590
2,461.0,0,0,12800,0.698,441,2218,90,62540,360,63170,1590
3,691.0,0,0,21300,0.7689,470,1718,90,62200,310,63170,1590
4,921.0,0,0,27900,0.8064,480,1218,90,61910,260,63170,1590
5,1152.0,0,0,32600,0.8064,470,718,90,61660,220,63170,1590
6,1382.0,0,0,35300,0.8045,463,218,90,61440,190,63170,1590
7,1612.0,0,0,36200,0.7909,454,0,90,61250,170,63170,1590
8,1842.0,0,0,36200,0.797,457,18,90,61080,170,63170,1590
9,2073.0,0,0,36200,0.7986,458,24,90,60900,170,63170,1590
10,2303.0,0,0,36300,0.7989,458,24,90,60730,170,63170,1590
11,2533.0,0,0,36400,0.7991,458,24,90,60550,170,63170,1590
12,2764.0,0,0,36500,0.7993,458,24,90,60380,170,63170,1590
13,2994.0,0,0,36600,0.7996,459,24,90,60200,170,63170,1590
14,3224.0,0,0,36700,0.7998,459,24,90,60030,170,63170,1590
15,3455.0,0,0,36800,0.8,459,24,90,59850,170,63170,1590
16,3685.0,0,0,36900,0.8002,459,24,90,59680,170,63170,1590
17,3915.0,0,0,37000,0.8005,459,24,90,59500,170,63170,1590
18,4146.0,0,0,37100,0.8007,459,24,90,59330,170,63170,1590
19,4376.0,0,0,37100,0.8009,459,24,90,59160,170,63170,1590
20,4606.0,0,0,37200,0.8011,459,24,90,58990,170,63170,1590
21,4836.0,0,0,37300,0.8013,460,24,90,58810,170,63170,1590
22,5067.0,0,0,37400,0.8015,460,23,90,58640,170,63170,1590
23,5297.0,0,0,37500,0.8017,460,32,90,58470,170,63170,1590
24,5527.0,0,0,37600,0.7993,458,-206,90,58300,160,63170,1590
25,5758.0,0,0,36800,0.8024,460,-706,90,58140,140,63170,1590
26,5988.0,0,0,34100,0.796,461,-1206,90,57990,130,63170,1590
27,6218.0,0,0,29500,0.7575,447,-1706,90,57860,120,63170,1590
28,6449.0,0,0,23000,0.6698,407,-2206,90,57740,100,63170,1590
29,6679.0,0,0,14500,0.5,314,-1942,90,57620,90,63170,1590
30,6909.0,0,0,7000,0.3,194,-1442,90,57530,90,63170,1590
31,7140.0,0,0,1500,0.1,66,-942,90,57440,300,63170,1590
