,ts,x,y,altitude,mach,tas,vertical_rate,heading,mass,fuel,takeoff_mass,flight_distance
0,0.0,0,0,1500,0.3,197,1400,90,57810,290,57810,3170
1,218.0,0,0,6600,0.5,323,1900,90,57520,300,57810,3170
2,435.0,0,0,13500,0.7,441,2400,90,57230,330,57810,3170
3,653.0,0,0,22200,0.791,482,1900,90,56920,290,57810,3170
4,870.0,0,0,29100,0.8068,477,1400,90,56650,240,57810,3170
5,1088.0,0,0,34100,0.8079,467,900,90,56420,200,57810,3170
6,1306.0,0,0,37400,0.807,463,400,90,56220,170,57810,3170
7,1523.0,0,0,38900,0.7977,458,7,90,56040,150,57810,3170
8,1741.0,0,0,38900,0.8037,461,23,90,55890,150,57810,3170
9,1958.0,0,0,39000,0.8039,461,23,90,55730,150,57810,3170
10,2176.0,0,0,39000,0.804,461,23,90,55570,150,57810,3170
11,2394.0,0,0,39100,0.8042,461,22,90,55420,150,57810,3170
12,2611.0,0,0,39200,0.8044,461,22,90,55260,150,57810,3170
13,2829.0,0,0,39300,0.8045,461,22,90,55110,150,57810,3170
14,3047.0,0,0,39400,0.8047,462,22,90,54950,150,57810,3170
15,3264.0,0,0,39500,0.8048,462,22,90,54800,150,57810,3170
16,3482.0,0,0,39500,0.805,462,22,90,54640,150,57810,3170
17,3699.0,0,0,39600,0.8051,462,22,90,54490,150,57810,3170
18,3917.0,0,0,39700,0.8053,462,22,90,54330,150,57810,3170
19,4135.0,0,0,39800,0.8055,462,22,90,54180,150,57810,3170
20,4352.0,0,0,39900,0.8056,462,22,90,54030,150,57810,3170
21,4570.0,0,0,39900,0.8058,462,22,90,53870,150,57810,3170
22,4787.0,0,0,40000,0.8059,462,22,90,53720,150,57810,3170
23,5005.0,0,0,40100,0.8061,462,22,90,53570,150,57810,3170
24,5223.0,0,0,40200,0.8062,462,22,90,53420,150,57810,3170
25,5440.0,0,0,40300,0.8064,462,22,90,53260,150,57810,3170
26,5658.0,0,0,40300,0.8065,463,22,90,53110,150,57810,3170
27,5875.0,0,0,40400,0.8067,463,22,90,52960,150,57810,3170
28,6093.0,0,0,40500,0.8068,463,22,90,52810,150,57810,3170
29,6311.0,0,0,40600,0.8069,463,22,90,52660,150,57810,3170
30,6528.0,0,0,40600,0.8071,463,22,90,52510,150,57810,3170
31,6746.0,0,0,40700,0.8072,463,22,90,52360,150,57810,3170
32,6964.0,0,0,40800,0.8074,463,22,90,52210,150,57810,3170
33,7181.0,0,0,40900,0.8075,463,22,90,52060,150,57810,3170
34,7399.0,0,0,41000,0.8077,463,13,90,51910,150,57810,3170
35,7616.0,0,0,41000,0.8089,464,0,90,51760,150,57810,3170
36,7834.0,0,0,41000,0.809,464,0,90,51610,150,57810,3170
37,8052.0,0,0,41000,0.809,464,0,90,51460,150,57810,3170
38,8269.0,0,0,41000,0.8091,464,0,90,51310,150,57810,3170
39,8487.0,0,0,41000,0.8092,464,0,90,51160,150,57810,3170
40,8704.0,0,0,41000,0.8093,464,0,90,51020,150,57810,3170
41,8922.0,0,0,41000,0.8093,464,0,90,50870,140,57810,3170
42,9140.0,0,0,41000,0.8094,464,0,90,50720,140,57810,3170
43,9357.0,0,0,41000,0.8095,464,0,90,50570,140,57810,3170
44,9575.0,0,0,41000,0.8096,464,0,90,50430,140,57810,3170
45,9792.0,0,0,41000,0.8096,464,0,90,50280,140,57810,3170
46,10010.0,0,0,41000,0.8097,464,0,90,50130,140,57810,3170
47,10228.0,0,0,41000,0.8098,464,0,90,49980,140,57810,3170
48,10445.0,0,0,41000,0.8098,464,0,90,49840,140,57810,3170
49,10663.0,0,0,41000,0.8099,465,0,90,49690,140,57810,3170
50,10881.0,0,0,41000,0.81,465,0,90,49550,140,57810,3170
51,11098.0,0,0,41000,0.8101,465,0,90,49400,140,57810,3170
52,11316.0,0,0,41000,0.8101,465,0,90,49260,140,57810,3170
53,11533.0,0,0,41000,0.8102,465,0,90,49110,140,57810,3170
54,11751.0,0,0,41000,0.8103,465,0,90,48960,140,57810,3170
55,11969.0,0,0,41000,0.8104,465,0,90,48820,140,57810,3170
56,12186.0,0,0,41000,0.8102,465,-479,90,48670,130,57810,3170
57,12404.0,0,0,39300,0.8086,464,-979,90,48540,120,57810,3170
58,12621.0,0,0,35700,0.7992,459,-1479,90,48420,110,57810,3170
59,12839.0,0,0,30400,0.7411,436,-1979,90,48300,100,57810,3170
60,13057.0,0,0,23200,0.6483,393,-2479,90,48190,90,57810,3170
61,13274.0,0,0,14200,0.5,314,-2000,90,48090,90,57810,3170
62,13492.0,0,0,6900,0.3,194,-1500,90,48000,80,57810,3170
63,13709.0,0,0,1500,0.1,66,-1000,90,47920,160,57810,3170
