,ts,x,y,altitude,mach,tas,vertical_rate,heading,mass,fuel,takeoff_mass,flight_distance
0,0.0,0,0,1500,0.3,197,1306,90,60490,300,60490,2080
1,224.0,0,0,6400,0.5,323,1806,90,60180,310,60490,2080
2,448.0,0,0,13100,0.7,442,2306,90,59880,340,60490,2080
3,672.0,0,0,21700,0.7802,476,1806,90,59560,300,60490,2080
4,897.0,0,0,28500,0.8066,478,1306,90,59280,250,60490,2080
5,1121.0,0,0,33400,0.8071,469,806,90,59040,210,60490,2080
6,1345.0,0,0,36400,0.8057,462,306,90,58830,180,60490,2080
7,1569.0,0,0,37500,0.7938,455,0,90,58650,160,60490,2080
8,1793.0,0,0,37500,0.801,459,22,90,58480,160,60490,2080
9,2017.0,0,0,37600,0.8015,460,23,90,58320,160,60490,2080
10,2242.0,0,0,37700,0.8017,460,23,90,58150,160,60490,2080
11,2466.0,0,0,37800,0.8019,460,23,90,57980,160,60490,2080
12,2690.0,0,0,37900,0.8021,460,23,90,57820,160,60490,2080
13,2914.0,0,0,37900,0.8023,460,23,90,57650,160,60490,2080
14,3138.0,0,0,38000,0.8025,460,23,90,57490,160,60490,2080
15,3362.0,0,0,38100,0.8026,460,23,90,57320,160,60490,2080
16,3586.0,0,0,38200,0.8028,460,23,90,57160,160,60490,2080
17,3811.0,0,0,38300,0.803,461,23,90,57000,160,60490,2080
18,4035.0,0,0,38400,0.8032,461,23,90,56830,160,60490,2080
19,4259.0,0,0,38500,0.8034,461,23,90,56670,160,60490,2080
20,4483.0,0,0,38600,0.8035,461,23,90,56510,160,60490,2080
21,4707.0,0,0,38600,0.8037,461,23,90,56340,160,60490,2080
22,4931.0,0,0,38700,0.8039,461,23,90,56180,160,60490,2080
23,5155.0,0,0,38800,0.8041,461,23,90,56020,160,60490,2080
24,5380.0,0,0,38900,0.8042,461,23,90,55860,160,60490,2080
25,5604.0,0,0,39000,0.8044,461,23,90,55700,160,60490,2080
26,5828.0,0,0,39100,0.8046,461,23,90,55540,160,60490,2080
27,6052.0,0,0,39100,0.8047,462,23,90,55380,160,60490,2080
28,6276.0,0,0,39200,0.8049,462,22,90,55220,160,60490,2080
29,6500.0,0,0,39300,0.8051,462,22,90,55060,160,60490,2080
30,6725.0,0,0,39400,0.8052,462,22,90,54900,160,60490,2080
31,6949.0,0,0,39500,0.8054,462,22,90,54740,160,60490,2080
32,7173.0,0,0,39600,0.8056,462,22,90,54580,160,60490,2080
33,7397.0,0,0,39600,0.8057,462,26,90,54420,160,60490,2080
34,7621.0,0,0,39700,0.8043,461,-347,90,54260,140,60490,2080
35,7845.0,0,0,38400,0.8055,462,-847,90,54110,130,60490,2080
36,8069.0,0,0,35300,0.7991,460,-1347,90,53980,120,60490,2080
37,8294.0,0,0,30200,0.7574,446,-1847,90,53860,110,60490,2080
38,8518.0,0,0,23300,0.6658,404,-2347,90,53740,100,60490,2080
39,8742.0,0,0,14600,0.5,314,-2000,90,53630,90,60490,2080
40,8966.0,0,0,7100,0.3,194,-1500,90,53540,90,60490,2080
41,9190.0,0,0,1500,0.1,66,-1000,90,53450,230,60490,2080
