,ts,x,y,altitude,mach,tas,vertical_rate,heading,mass,fuel,takeoff_mass,flight_distance
0,0.0,0,0,1500,0.3,197,1333,90,61160,300,61160,3360
1,218.0,0,0,6300,0.5,323,1833,90,60860,300,61160,3360
2,435.0,0,0,13000,0.7,442,2333,90,60560,340,61160,3360
3,653.0,0,0,21400,0.7758,474,1833,90,60240,290,61160,3360
4,870.0,0,0,28100,0.806,479,1333,90,59970,250,61160,3360
5,1088.0,0,0,32900,0.8065,469,833,90,59730,210,61160,3360
6,1306.0,0,0,36000,0.8049,462,333,90,59520,180,61160,3360
7,1523.0,0,0,37200,0.7924,454,0,90,59340,160,61160,3360
8,1741.0,0,0,37200,0.7991,458,21,90,59180,160,61160,3360
9,1959.0,0,0,37200,0.8,459,24,90,59020,160,61160,3360
10,2176.0,0,0,37300,0.8002,459,24,90,58860,160,61160,3360
11,2394.0,0,0,37400,0.8004,459,23,90,58700,160,61160,3360
12,2611.0,0,0,37500,0.8006,459,23,90,58530,160,61160,3360
13,2829.0,0,0,37600,0.8008,459,23,90,58370,160,61160,3360
14,3047.0,0,0,37700,0.801,459,23,90,58210,160,61160,3360
15,3264.0,0,0,37700,0.8012,460,23,90,58050,160,61160,3360
16,3482.0,0,0,37800,0.8014,460,23,90,57890,160,61160,3360
17,3700.0,0,0,37900,0.8016,460,23,90,57730,160,61160,3360
18,3917.0,0,0,38000,0.8018,460,23,90,57570,160,61160,3360
19,4135.0,0,0,38100,0.8019,460,23,90,57410,160,61160,3360
20,4352.0,0,0,38200,0.8021,460,23,90,57250,160,61160,3360
21,4570.0,0,0,38200,0.8023,460,23,90,57090,160,61160,3360
22,4788.0,0,0,38300,0.8025,460,23,90,56930,160,61160,3360
23,5005.0,0,0,38400,0.8026,460,23,90,56770,160,61160,3360
24,5223.0,0,0,38500,0.8028,460,23,90,56620,160,61160,3360
25,5440.0,0,0,38600,0.803,461,23,90,56460,160,61160,3360
26,5658.0,0,0,38700,0.8032,461,23,90,56300,160,61160,3360
27,5876.0,0,0,38700,0.8033,461,23,90,56140,150,61160,3360
28,6093.0,0,0,38800,0.8035,461,23,90,55980,150,61160,3360
29,6311.0,0,0,38900,0.8037,461,23,90,55830,150,61160,3360
30,6529.0,0,0,39000,0.8038,461,23,90,55670,150,61160,3360
31,6746.0,0,0,39100,0.804,461,23,90,55520,150,61160,3360
32,6964.0,0,0,39200,0.8041,461,22,90,55360,150,61160,3360
33,7181.0,0,0,39200,0.8043,461,22,90,55200,150,61160,3360
34,7399.0,0,0,39300,0.8045,461,22,90,55050,150,61160,3360
35,7617.0,0,0,39400,0.8046,462,22,90,54900,150,61160,3360
36,7834.0,0,0,39500,0.8048,462,22,90,54740,150,61160,3360
37,8052.0,0,0,39600,0.8049,462,22,90,54580,150,61160,3360
38,8269.0,0,0,39600,0.8051,462,22,90,54430,150,61160,3360
39,8487.0,0,0,39700,0.8052,462,22,90,54280,150,61160,3360
40,8705.0,0,0,39800,0.8054,462,22,90,54120,150,61160,3360
41,8922.0,0,0,39900,0.8056,462,22,90,53970,150,61160,3360
42,9140.0,0,0,40000,0.8057,462,22,90,53820,150,61160,3360
43,9358.0,0,0,40000,0.8059,462,22,90,53660,150,61160,3360
44,9575.0,0,0,40100,0.806,462,22,90,53510,150,61160,3360
45,9793.0,0,0,40200,0.8062,462,22,90,53360,150,61160,3360
46,10010.0,0,0,40300,0.8063,462,22,90,53210,150,61160,3360
47,10228.0,0,0,40400,0.8065,463,22,90,53060,150,61160,3360
48,10446.0,0,0,40400,0.8066,463,22,90,52900,150,61160,3360
49,10663.0,0,0,40500,0.8067,463,22,90,52750,150,61160,3360
50,10881.0,0,0,40600,0.8069,463,22,90,52600,150,61160,3360
51,11099.0,0,0,40700,0.807,463,22,90,52450,150,61160,3360
52,11316.0,0,0,40800,0.8072,463,22,90,52300,150,61160,3360
53,11534.0,0,0,40800,0.8073,463,22,90,52150,150,61160,3360
54,11751.0,0,0,40900,0.8075,463,22,90,52000,150,61160,3360
55,11969.0,0,0,41000,0.8076,463,5,90,51850,150,61160,3360
56,12187.0,0,0,41000,0.8088,464,0,90,51700,150,61160,3360
57,12404.0,0,0,41000,0.8089,464,0,90,51560,150,61160,3360
58,12622.0,0,0,41000,0.809,464,0,90,51410,150,61160,3360
59,12839.0,0,0,41000,0.809,464,0,90,51260,150,61160,3360
60,13057.0,0,0,41000,0.8088,464,-479,90,51110,130,61160,3360
61,13275.0,0,0,39300,0.8077,463,-979,90,50980,120,61160,3360
62,13492.0,0,0,35700,0.7998,460,-1479,90,50850,110,61160,3360
63,13710.0,0,0,30400,0.7492,441,-1979,90,50740,100,61160,3360
64,13928.0,0,0,23200,0.6566,398,-2479,90,50630,90,61160,3360
65,14145.0,0,0,14200,0.5,314,-2000,90,50520,90,61160,3360
66,14363.0,0,0,6900,0.3,194,-1500,90,50430,80,61160,3360
67,14580.0,0,0,1500,0.1,66,-1000,90,50350,190,61160,3360
