,ts,x,y,altitude,mach,tas,vertical_rate,heading,mass,fuel,takeoff_mass,flight_distance
0,0.0,0,0,1500,0.3,197,1403,90,54470,290,54470,1690
1,227.0,0,0,6800,0.5,323,1903,90,54170,300,54470,1690
2,454.0,0,0,14000,0.7,440,2403,90,53880,330,54470,1690
3,681.0,0,0,23100,0.7995,485,1903,90,53570,290,54470,1690
4,909.0,0,0,30300,0.8084,476,1403,90,53300,240,54470,1690
5,1136.0,0,0,35600,0.8102,466,903,90,53070,200,54470,1690
6,1363.0,0,0,39000,0.8098,464,403,90,52870,170,54470,1690
7,1590.0,0,0,40600,0.804,461,15,90,52700,150,54470,1690
8,1817.0,0,0,40600,0.8081,463,22,90,52540,150,54470,1690
9,2044.0,0,0,40700,0.8082,464,22,90,52380,150,54470,1690
10,2272.0,0,0,40800,0.8084,464,22,90,52220,150,54470,1690
11,2499.0,0,0,40900,0.8085,464,22,90,52070,150,54470,1690
12,2726.0,0,0,41000,0.8087,464,15,90,51910,150,54470,1690
13,2953.0,0,0,41000,0.8099,465,0,90,51760,150,54470,1690
14,3180.0,0,0,41000,0.81,465,0,90,51600,150,54470,1690
15,3407.0,0,0,41000,0.8101,465,0,90,51440,150,54470,1690
16,3634.0,0,0,41000,0.8102,465,0,90,51290,150,54470,1690
17,3862.0,0,0,41000,0.8102,465,0,90,51130,150,54470,1690
18,4089.0,0,0,41000,0.8103,465,0,90,50980,150,54470,1690
19,4316.0,0,0,41000,0.8104,465,0,90,50820,150,54470,1690
20,4543.0,0,0,41000,0.8105,465,0,90,50670,150,54470,1690
21,4770.0,0,0,41000,0.8106,465,0,90,50520,150,54470,1690
22,4997.0,0,0,41000,0.8106,465,0,90,50360,150,54470,1690
23,5225.0,0,0,41000,0.8107,465,0,90,50210,150,54470,1690
24,5452.0,0,0,41000,0.8108,465,0,90,50060,150,54470,1690
25,5679.0,0,0,41000,0.8109,465,0,90,49900,150,54470,1690
26,5906.0,0,0,41000,0.8107,465,-387,90,49750,140,54470,1690
27,6133.0,0,0,39500,0.8096,464,-887,90,49610,130,54470,1690
28,6360.0,0,0,36200,0.8023,460,-1387,90,49480,120,54470,1690
29,6588.0,0,0,30900,0.7555,443,-1887,90,49360,110,54470,1690
30,6815.0,0,0,23800,0.6574,398,-2387,90,49240,100,54470,1690
31,7042.0,0,0,14800,0.5,314,-2000,90,49130,90,54470,1690
32,7269.0,0,0,7200,0.3,193,-1500,90,49030,90,54470,1690
33,7496.0,0,0,1500,0.1,66,-1000,90,48950,180,54470,1690
