,ts,x,y,altitude,mach,tas,vertical_rate,heading,mass,fuel,takeoff_mass,flight_distance
0,0.0,0,0,1500,0.3,197,1429,90,51790,280,51790,1780
1,226.0,0,0,6900,0.5,323,1929,90,51510,290,51790,1780
2,452.0,0,0,14100,0.7,440,2429,90,51230,330,51790,1780
3,677.0,0,0,23300,0.7966,483,1929,90,50920,280,51790,1780
4,903.0,0,0,30500,0.8078,475,1429,90,50660,230,51790,1780
5,1129.0,0,0,35900,0.8106,465,929,90,50430,190,51790,1780
6,1355.0,0,0,39400,0.8108,465,429,90,50240,170,51790,1780
7,1580.0,0,0,41000,0.8107,465,0,90,50070,150,51790,1780
8,1806.0,0,0,41000,0.8108,465,0,90,49920,150,51790,1780
9,2032.0,0,0,41000,0.8109,465,0,90,49770,150,51790,1780
10,2258.0,0,0,41000,0.8109,465,0,90,49620,150,51790,1780
11,2483.0,0,0,41000,0.811,465,0,90,49460,150,51790,1780
12,2709.0,0,0,41000,0.8111,465,0,90,49310,150,51790,1780
13,2935.0,0,0,41000,0.8112,465,0,90,49160,150,51790,1780
14,3161.0,0,0,41000,0.8112,465,0,90,49010,150,51790,1780
15,3387.0,0,0,41000,0.8113,465,0,90,48860,150,51790,1780
16,3612.0,0,0,41000,0.8114,465,0,90,48710,150,51790,1780
17,3838.0,0,0,41000,0.8115,465,0,90,48560,150,51790,1780
18,4064.0,0,0,41000,0.8116,465,0,90,48410,150,51790,1780
19,4290.0,0,0,41000,0.8116,466,0,90,48260,150,51790,1780
20,4515.0,0,0,41000,0.8117,466,0,90,48110,150,51790,1780
21,4741.0,0,0,41000,0.8118,466,0,90,47960,150,51790,1780
22,4967.0,0,0,41000,0.8119,466,0,90,47810,150,51790,1780
23,5193.0,0,0,41000,0.812,466,0,90,47660,150,51790,1780
24,5419.0,0,0,41000,0.812,466,0,90,47510,150,51790,1780
25,5644.0,0,0,41000,0.8121,466,0,90,47360,150,51790,1780
26,5870.0,0,0,41000,0.8122,466,0,90,47210,150,51790,1780
27,6096.0,0,0,41000,0.8123,466,0,90,47060,150,51790,1780
28,6322.0,0,0,41000,0.8121,466,-400,90,46910,130,51790,1780
29,6547.0,0,0,39500,0.8105,465,-900,90,46780,120,51790,1780
30,6773.0,0,0,36100,0.8014,460,-1400,90,46650,120,51790,1780
31,6999.0,0,0,30900,0.7443,437,-1900,90,46520,110,51790,1780
32,7225.0,0,0,23700,0.6468,391,-2400,90,46410,100,51790,1780
33,7450.0,0,0,14700,0.5,314,-2000,90,46300,90,51790,1780
34,7676.0,0,0,7100,0.3,194,-1500,90,46210,90,51790,1780
35,7902.0,0,0,1500,0.1,66,-1000,90,46120,150,51790,1780
