,ts,x,y,altitude,mach,tas,vertical_rate,heading,mass,fuel,takeoff_mass,flight_distance
0,0.0,0,0,1500,0.1007,66,2500,90,67180,100,67180,500
1,79.0,0,0,4800,0.3007,196,2000,90,67180,140,67180,500
2,158.0,0,0,7400,0.5007,323,2500,90,67040,130,67180,500
3,237.0,0,0,10700,0.6737,429,2500,90,66910,130,67180,500
4,316.0,0,0,14000,0.6998,440,2500,90,66780,130,67180,500
5,394.0,0,0,17300,0.7255,450,2500,90,66650,120,67180,500
6,473.0,0,0,20600,0.75,460,2500,90,66530,120,67180,500
7,552.0,0,0,23900,0.7717,467,2497,90,66410,120,67180,500
8,631.0,0,0,27100,0.7874,470,1997,90,66300,110,67180,500
9,710.0,0,0,29800,0.7909,467,1497,90,66190,90,67180,500
10,789.0,0,0,31700,0.807,472,997,90,66100,80,67180,500
11,868.0,0,0,33000,0.8031,467,497,90,66020,70,67180,500
12,947.0,0,0,33700,0.7839,455,-3,90,65940,60,67180,500
13,1026.0,0,0,33700,0.7857,456,-96,90,65880,60,67180,500
14,1104.0,0,0,33600,0.7922,460,-84,90,65820,60,67180,500
15,1183.0,0,0,33400,0.7968,463,-297,90,65760,60,67180,500
16,1262.0,0,0,33100,0.7951,462,-512,90,65700,60,67180,500
17,1341.0,0,0,32400,0.7931,463,-720,90,65640,50,67180,500
18,1420.0,0,0,31400,0.7903,463,-940,90,65590,50,67180,500
19,1499.0,0,0,30200,0.7864,463,-1179,90,65540,50,67180,500
20,1578.0,0,0,28700,0.78,462,-1443,90,65490,40,67180,500
21,1657.0,0,0,26800,0.7679,459,-1720,90,65440,40,67180,500
22,1735.0,0,0,24500,0.7438,449,-1955,90,65400,40,67180,500
23,1814.0,0,0,21900,0.7167,437,-2165,90,65360,40,67180,500
24,1893.0,0,0,19100,0.69,425,-2369,90,65320,40,67180,500
25,1972.0,0,0,16000,0.6592,411,-2500,90,65280,40,67180,500
26,2051.0,0,0,12700,0.6217,393,-2500,90,65240,30,67180,500
27,2130.0,0,0,9400,0.5878,376,-2500,90,65210,30,67180,500
28,2209.0,0,0,6100,0.5,324,-2000,90,65170,30,67180,500
29,2288.0,0,0,3500,0.3,196,-1500,90,65140,30,67180,500
30,2367.0,0,0,1500,0.1,66,-1000,90,65110,130,67180,500
