,ts,x,y,altitude,mach,tas,vertical_rate,heading,mass,fuel,takeoff_mass,flight_distance
0,0.0,0,0,1500,0.3,197,1253,90,62500,310,62500,1880
1,226.0,0,0,6200,0.5,324,1753,90,62180,310,62500,1880
2,453.0,0,0,12800,0.6997,442,2253,90,61880,350,62500,1880
3,679.0,0,0,21400,0.7713,471,1753,90,61550,300,62500,1880
4,906.0,0,0,28000,0.8063,479,1253,90,61260,260,62500,1880
5,1132.0,0,0,32700,0.8065,470,753,90,61010,220,62500,1880
6,1359.0,0,0,35500,0.8047,463,253,90,60800,180,62500,1880
7,1585.0,0,0,36500,0.7914,454,0,90,60610,170,62500,1880
8,1812.0,0,0,36500,0.7976,458,18,90,60440,170,62500,1880
9,2038.0,0,0,36600,0.7992,458,24,90,60270,170,62500,1880
10,2265.0,0,0,36700,0.7994,459,24,90,60100,170,62500,1880
11,2491.0,0,0,36700,0.7996,459,24,90,59930,170,62500,1880
12,2718.0,0,0,36800,0.7998,459,24,90,59760,170,62500,1880
13,2944.0,0,0,36900,0.8001,459,24,90,59590,170,62500,1880
14,3170.0,0,0,37000,0.8003,459,24,90,59420,170,62500,1880
15,3397.0,0,0,37100,0.8005,459,24,90,59250,170,62500,1880
16,3623.0,0,0,37200,0.8007,459,24,90,59080,170,62500,1880
17,3850.0,0,0,37300,0.8009,459,24,90,58910,170,62500,1880
18,4076.0,0,0,37400,0.8011,460,24,90,58740,170,62500,1880
19,4303.0,0,0,37500,0.8013,460,24,90,58570,170,62500,1880
20,4529.0,0,0,37600,0.8015,460,23,90,58400,170,62500,1880
21,4756.0,0,0,37600,0.8017,460,23,90,58230,170,62500,1880
22,4982.0,0,0,37700,0.8019,460,23,90,58070,170,62500,1880
23,5209.0,0,0,37800,0.8021,460,23,90,57900,160,62500,1880
24,5435.0,0,0,37900,0.8023,460,23,90,57730,160,62500,1880
25,5662.0,0,0,38000,0.8025,460,23,90,57570,160,62500,1880
26,5888.0,0,0,38100,0.8027,460,23,90,57400,160,62500,1880
27,6114.0,0,0,38200,0.8029,460,23,90,57230,160,62500,1880
28,6341.0,0,0,38300,0.803,461,23,90,57070,160,62500,1880
29,6567.0,0,0,38300,0.8032,461,29,90,56900,160,62500,1880
30,6794.0,0,0,38400,0.8014,460,-265,90,56740,150,62500,1880
31,7020.0,0,0,37500,0.8033,461,-765,90,56580,130,62500,1880
32,7247.0,0,0,34600,0.7969,460,-1265,90,56440,120,62500,1880
33,7473.0,0,0,29800,0.7573,447,-1765,90,56320,110,62500,1880
34,7700.0,0,0,23100,0.6688,406,-2265,90,56200,100,62500,1880
35,7926.0,0,0,14600,0.5,314,-1983,90,56090,90,62500,1880
36,8153.0,0,0,7100,0.3,194,-1483,90,55990,90,62500,1880
37,8379.0,0,0,1500,0.1,66,-983,90,55910,270,62500,1880
