,ts,x,y,altitude,mach,tas,vertical_rate,heading,mass,fuel,takeoff_mass,flight_distance
0,0.0,0,0,1500,0.3,197,1377,90,56470,290,56470,1880
1,225.0,0,0,6700,0.5,323,1877,90,56180,300,56470,1880
2,450.0,0,0,13700,0.7,441,2377,90,55890,340,56470,1880
3,675.0,0,0,22600,0.7986,485,1877,90,55570,290,56470,1880
4,901.0,0,0,29700,0.8077,477,1377,90,55290,240,56470,1880
5,1126.0,0,0,34800,0.809,467,877,90,55060,200,56470,1880
6,1351.0,0,0,38100,0.8083,464,377,90,54860,170,56470,1880
7,1576.0,0,0,39600,0.8005,459,10,90,54680,160,56470,1880
8,1801.0,0,0,39600,0.8059,462,22,90,54520,160,56470,1880
9,2026.0,0,0,39700,0.806,462,22,90,54360,160,56470,1880
10,2251.0,0,0,39800,0.8062,462,22,90,54200,160,56470,1880
11,2476.0,0,0,39800,0.8063,462,22,90,54050,160,56470,1880
12,2702.0,0,0,39900,0.8065,463,22,90,53890,160,56470,1880
13,2927.0,0,0,40000,0.8066,463,22,90,53730,160,56470,1880
14,3152.0,0,0,40100,0.8068,463,22,90,53570,160,56470,1880
15,3377.0,0,0,40200,0.807,463,22,90,53410,150,56470,1880
16,3602.0,0,0,40300,0.8071,463,22,90,53260,150,56470,1880
17,3827.0,0,0,40300,0.8073,463,22,90,53100,150,56470,1880
18,4052.0,0,0,40400,0.8074,463,22,90,52940,150,56470,1880
19,4278.0,0,0,40500,0.8076,463,22,90,52780,150,56470,1880
20,4503.0,0,0,40600,0.8077,463,22,90,52630,150,56470,1880
21,4728.0,0,0,40700,0.8079,463,22,90,52470,150,56470,1880
22,4953.0,0,0,40700,0.808,463,22,90,52320,150,56470,1880
23,5178.0,0,0,40800,0.8082,464,22,90,52160,150,56470,1880
24,5403.0,0,0,40900,0.8083,464,22,90,52010,150,56470,1880
25,5628.0,0,0,41000,0.8085,464,6,90,51850,150,56470,1880
26,5854.0,0,0,41000,0.8097,464,0,90,51700,150,56470,1880
27,6079.0,0,0,41000,0.8098,464,0,90,51540,150,56470,1880
28,6304.0,0,0,41000,0.8098,464,0,90,51390,150,56470,1880
29,6529.0,0,0,41000,0.8099,465,0,90,51240,150,56470,1880
30,6754.0,0,0,41000,0.8097,464,-406,90,51080,140,56470,1880
31,6979.0,0,0,39500,0.8088,464,-906,90,50940,120,56470,1880
32,7204.0,0,0,36100,0.8019,460,-1406,90,50810,120,56470,1880
33,7429.0,0,0,30800,0.7575,445,-1906,90,50690,110,56470,1880
34,7655.0,0,0,23700,0.6607,400,-2406,90,50570,100,56470,1880
35,7880.0,0,0,14600,0.5,314,-2000,90,50470,90,56470,1880
36,8105.0,0,0,7100,0.3,194,-1500,90,50370,90,56470,1880
37,8330.0,0,0,1500,0.1,66,-1000,90,50290,190,56470,1880
