,ts,x,y,altitude,mach,tas,vertical_rate,heading,mass,fuel,takeoff_mass,flight_distance
0,0.0,0,0,1500,0.3,197,1355,90,59820,300,59820,3070
1,218.0,0,0,6400,0.5,323,1855,90,59520,300,59820,3070
2,437.0,0,0,13200,0.7,442,2355,90,59230,340,59820,3070
3,655.0,0,0,21800,0.7821,477,1855,90,58910,290,59820,3070
4,873.0,0,0,28500,0.8063,478,1355,90,58640,240,59820,3070
5,1092.0,0,0,33400,0.8071,468,855,90,58400,210,59820,3070
6,1310.0,0,0,36600,0.8058,462,355,90,58200,180,59820,3070
7,1529.0,0,0,37800,0.794,455,0,90,58020,160,59820,3070
8,1747.0,0,0,37800,0.8014,460,23,90,57860,160,59820,3070
9,1965.0,0,0,37900,0.8017,460,23,90,57700,160,59820,3070
10,2184.0,0,0,38000,0.8019,460,23,90,57540,160,59820,3070
11,2402.0,0,0,38100,0.8021,460,23,90,57380,160,59820,3070
12,2620.0,0,0,38200,0.8023,460,23,90,57220,160,59820,3070
13,2839.0,0,0,38300,0.8024,460,23,90,57060,160,59820,3070
14,3057.0,0,0,38400,0.8026,460,23,90,56900,160,59820,3070
15,3276.0,0,0,38400,0.8028,460,23,90,56740,160,59820,3070
16,3494.0,0,0,38500,0.803,461,23,90,56580,160,59820,3070
17,3712.0,0,0,38600,0.8031,461,23,90,56420,160,59820,3070
18,3931.0,0,0,38700,0.8033,461,23,90,56260,160,59820,3070
19,4149.0,0,0,38800,0.8035,461,23,90,56110,160,59820,3070
20,4367.0,0,0,38800,0.8036,461,23,90,55950,150,59820,3070
21,4586.0,0,0,38900,0.8038,461,23,90,55790,150,59820,3070
22,4804.0,0,0,39000,0.804,461,23,90,55640,150,59820,3070
23,5023.0,0,0,39100,0.8041,461,23,90,55480,150,59820,3070
24,5241.0,0,0,39200,0.8043,461,22,90,55320,150,59820,3070
25,5459.0,0,0,39300,0.8045,461,22,90,55170,150,59820,3070
26,5678.0,0,0,39300,0.8046,462,22,90,55010,150,59820,3070
27,5896.0,0,0,39400,0.8048,462,22,90,54860,150,59820,3070
28,6114.0,0,0,39500,0.8049,462,22,90,54700,150,59820,3070
29,6333.0,0,0,39600,0.8051,462,22,90,54540,150,59820,3070
30,6551.0,0,0,39700,0.8052,462,22,90,54390,150,59820,3070
31,6770.0,0,0,39700,0.8054,462,22,90,54240,150,59820,3070
32,6988.0,0,0,39800,0.8055,462,22,90,54080,150,59820,3070
33,7206.0,0,0,39900,0.8057,462,22,90,53930,150,59820,3070
34,7425.0,0,0,40000,0.8059,462,22,90,53780,150,59820,3070
35,7643.0,0,0,40100,0.806,462,22,90,53620,150,59820,3070
36,7861.0,0,0,40100,0.8062,462,22,90,53470,150,59820,3070
37,8080.0,0,0,40200,0.8063,462,22,90,53320,150,59820,3070
38,8298.0,0,0,40300,0.8065,463,22,90,53160,150,59820,3070
39,8517.0,0,0,40400,0.8066,463,22,90,53010,150,59820,3070
40,8735.0,0,0,40500,0.8068,463,22,90,52860,150,59820,3070
41,8953.0,0,0,40500,0.8069,463,22,90,52710,150,59820,3070
42,9172.0,0,0,40600,0.807,463,22,90,52560,150,59820,3070
43,9390.0,0,0,40700,0.8072,463,22,90,52400,150,59820,3070
44,9608.0,0,0,40800,0.8073,463,22,90,52250,150,59820,3070
45,9827.0,0,0,40900,0.8075,463,22,90,52100,150,59820,3070
46,10045.0,0,0,40900,0.8076,463,20,90,51950,150,59820,3070
47,10264.0,0,0,41000,0.8086,464,0,90,51800,150,59820,3070
48,10482.0,0,0,41000,0.809,464,0,90,51650,150,59820,3070
49,10700.0,0,0,41000,0.809,464,0,90,51500,150,59820,3070
50,10919.0,0,0,41000,0.8091,464,0,90,51360,150,59820,3070
51,11137.0,0,0,41000,0.8092,464,0,90,51210,150,59820,3070
52,11355.0,0,0,41000,0.8092,464,0,90,51060,150,59820,3070
53,11574.0,0,0,41000,0.8093,464,0,90,50910,150,59820,3070
54,11792.0,0,0,41000,0.8091,464,-471,90,50760,130,59820,3070
55,12011.0,0,0,39300,0.8079,463,-971,90,50630,120,59820,3070
56,12229.0,0,0,35800,0.8,460,-1471,90,50500,110,59820,3070
57,12447.0,0,0,30400,0.7489,441,-1971,90,50390,100,59820,3070
58,12666.0,0,0,23200,0.6559,398,-2471,90,50280,90,59820,3070
59,12884.0,0,0,14200,0.5,314,-2000,90,50180,90,59820,3070
60,13102.0,0,0,7000,0.3,194,-1500,90,50080,80,59820,3070
61,13321.0,0,0,1500,0.1,66,-1000,90,50000,180,59820,3070
