,ts,x,y,altitude,mach,tas,vertical_rate,heading,mass,fuel,takeoff_mass,flight_distance
0,0.0,0,0,1500,0.3,197,2500,90,58480,160,58480,600
1,91.0,0,0,5300,0.5,325,2500,90,58320,140,58480,600
2,182.0,0,0,9100,0.6609,423,2500,90,58180,150,58480,600
3,273.0,0,0,12900,0.7059,446,2500,90,58040,140,58480,600
4,363.0,0,0,16600,0.7395,460,2500,90,57900,140,58480,600
5,454.0,0,0,20400,0.7734,474,2500,90,57760,130,58480,600
6,545.0,0,0,24200,0.8067,487,2500,90,57640,130,58480,600
7,636.0,0,0,28000,0.815,484,2363,90,57510,120,58480,600
8,727.0,0,0,31600,0.8142,477,1863,90,57390,110,58480,600
9,818.0,0,0,34400,0.8121,469,1363,90,57290,90,58480,600
10,908.0,0,0,36500,0.8095,464,863,90,57200,80,58480,600
11,999.0,0,0,37800,0.8071,463,363,90,57110,70,58480,600
12,1090.0,0,0,38300,0.7989,458,-6,90,57040,60,58480,600
13,1181.0,0,0,38300,0.8029,460,22,90,56980,70,58480,600
14,1272.0,0,0,38300,0.8031,461,14,90,56910,70,58480,600
15,1363.0,0,0,38400,0.8043,461,-152,90,56840,60,58480,600
16,1453.0,0,0,38100,0.8049,462,-395,90,56780,60,58480,600
17,1544.0,0,0,37500,0.8044,461,-637,90,56720,60,58480,600
18,1635.0,0,0,36600,0.8037,461,-874,90,56660,50,58480,600
19,1726.0,0,0,35200,0.8023,462,-1084,90,56610,50,58480,600
20,1817.0,0,0,33600,0.8,464,-1354,90,56560,50,58480,600
21,1908.0,0,0,31600,0.7961,466,-1703,90,56510,50,58480,600
22,1998.0,0,0,29000,0.7888,467,-2147,90,56460,40,58480,600
23,2089.0,0,0,25700,0.7627,458,-2500,90,56410,40,58480,600
24,2180.0,0,0,21900,0.7052,430,-2500,90,56370,40,58480,600
25,2271.0,0,0,18200,0.6548,405,-2500,90,56320,40,58480,600
26,2362.0,0,0,14400,0.6104,383,-2500,90,56280,40,58480,600
27,2453.0,0,0,10600,0.5709,364,-2500,90,56240,40,58480,600
28,2543.0,0,0,6800,0.5,323,-2000,90,56200,40,58480,600
29,2634.0,0,0,3800,0.3,196,-1500,90,56160,30,58480,600
30,2725.0,0,0,1500,0.1,66,-1000,90,56130,110,58480,600
