,ts,x,y,altitude,mach,tas,vertical_rate,heading,mass,fuel,takeoff_mass,flight_distance
0,0.0,0,0,1500,0.3,197,942,90,73870,320,73870,2280
1,228.0,0,0,5100,0.5,325,1442,90,73550,330,73870,2280
2,455.0,0,0,10500,0.6607,421,1942,90,73230,360,73870,2280
3,683.0,0,0,17900,0.7113,441,1442,90,72880,310,73870,2280
4,911.0,0,0,23400,0.7382,447,942,90,72570,270,73870,2280
5,1138.0,0,0,27000,0.7385,441,442,90,72310,230,73870,2280
6,1366.0,0,0,28600,0.7243,429,0,90,72090,190,73870,2280
7,1594.0,0,0,28600,0.7278,431,0,90,71900,190,73870,2280
8,1821.0,0,0,28600,0.7311,433,0,90,71700,190,73870,2280
9,2049.0,0,0,28600,0.7343,435,7,90,71510,190,73870,2280
10,2277.0,0,0,28700,0.737,437,34,90,71320,200,73870,2280
11,2505.0,0,0,28800,0.7384,437,33,90,71120,200,73870,2280
12,2732.0,0,0,28900,0.7399,438,33,90,70920,190,73870,2280
13,2960.0,0,0,29000,0.7413,439,33,90,70730,190,73870,2280
14,3188.0,0,0,29200,0.7427,439,33,90,70540,190,73870,2280
15,3415.0,0,0,29300,0.7441,440,33,90,70340,190,73870,2280
16,3643.0,0,0,29400,0.7455,440,34,90,70150,190,73870,2280
17,3871.0,0,0,29600,0.747,441,33,90,69960,190,73870,2280
18,4098.0,0,0,29700,0.7484,442,13,90,69760,190,73870,2280
19,4326.0,0,0,29700,0.7508,443,400,90,69570,210,73870,2280
20,4554.0,0,0,31200,0.7943,466,117,90,69360,200,73870,2280
21,4781.0,0,0,31700,0.7865,460,23,90,69160,190,73870,2280
22,5009.0,0,0,31800,0.7874,460,28,90,68970,190,73870,2280
23,5237.0,0,0,31900,0.7879,460,28,90,68780,190,73870,2280
24,5464.0,0,0,32000,0.7883,461,28,90,68580,190,73870,2280
25,5692.0,0,0,32100,0.7887,461,28,90,68390,190,73870,2280
26,5920.0,0,0,32200,0.7891,461,28,90,68200,190,73870,2280
27,6147.0,0,0,32300,0.7895,461,28,90,68010,190,73870,2280
28,6375.0,0,0,32400,0.7899,461,27,90,67820,190,73870,2280
29,6603.0,0,0,32500,0.7903,461,27,90,67630,190,73870,2280
30,6830.0,0,0,32600,0.7907,461,27,90,67440,190,73870,2280
31,7058.0,0,0,32700,0.7911,461,27,90,67250,190,73870,2280
32,7286.0,0,0,32800,0.7915,461,27,90,67060,190,73870,2280
33,7514.0,0,0,32900,0.7918,461,27,90,66880,190,73870,2280
34,7741.0,0,0,33000,0.7922,461,27,90,66690,190,73870,2280
35,7969.0,0,0,33100,0.7925,461,27,90,66500,190,73870,2280
36,8197.0,0,0,33200,0.7929,461,26,90,66320,190,73870,2280
37,8424.0,0,0,33300,0.7933,461,61,90,66130,190,73870,2280
38,8652.0,0,0,33600,0.7889,458,-79,90,65940,180,73870,2280
39,8880.0,0,0,33300,0.7954,462,-579,90,65760,160,73870,2280
40,9107.0,0,0,31100,0.7855,461,-1079,90,65600,140,73870,2280
41,9335.0,0,0,27000,0.7361,439,-1579,90,65460,120,73870,2280
42,9563.0,0,0,21000,0.6631,406,-2079,90,65330,100,73870,2280
43,9790.0,0,0,13100,0.5,316,-1777,90,65220,90,73870,2280
44,10018.0,0,0,6300,0.3,194,-1277,90,65120,90,73870,2280
45,10246.0,0,0,1500,0.1,66,-777,90,65030,450,73870,2280
