,ts,x,y,altitude,mach,tas,vertical_rate,heading,mass,fuel,takeoff_mass,flight_distance
0,0.0,0,0,1500,0.3,197,1375,90,57140,290,57140,2080
1,223.0,0,0,6600,0.5,323,1875,90,56850,300,57140,2080
2,447.0,0,0,13600,0.7,441,2375,90,56560,340,57140,2080
3,670.0,0,0,22400,0.7952,484,1875,90,56240,290,57140,2080
4,894.0,0,0,29400,0.8074,477,1375,90,55960,240,57140,2080
5,1117.0,0,0,34600,0.8086,467,875,90,55730,200,57140,2080
6,1341.0,0,0,37800,0.8078,463,375,90,55530,170,57140,2080
7,1564.0,0,0,39200,0.799,458,8,90,55350,160,57140,2080
8,1787.0,0,0,39200,0.805,462,23,90,55190,160,57140,2080
9,2011.0,0,0,39300,0.8052,462,22,90,55030,160,57140,2080
10,2234.0,0,0,39400,0.8053,462,22,90,54870,160,57140,2080
11,2458.0,0,0,39500,0.8055,462,22,90,54720,160,57140,2080
12,2681.0,0,0,39600,0.8056,462,22,90,54560,160,57140,2080
13,2905.0,0,0,39700,0.8058,462,22,90,54400,160,57140,2080
14,3128.0,0,0,39700,0.806,462,22,90,54240,160,57140,2080
15,3351.0,0,0,39800,0.8061,462,22,90,54080,150,57140,2080
16,3575.0,0,0,39900,0.8063,462,22,90,53920,150,57140,2080
17,3798.0,0,0,40000,0.8064,463,22,90,53770,150,57140,2080
18,4022.0,0,0,40100,0.8066,463,22,90,53610,150,57140,2080
19,4245.0,0,0,40200,0.8067,463,22,90,53450,150,57140,2080
20,4469.0,0,0,40200,0.8069,463,22,90,53300,150,57140,2080
21,4692.0,0,0,40300,0.807,463,22,90,53140,150,57140,2080
22,4915.0,0,0,40400,0.8072,463,22,90,52990,150,57140,2080
23,5139.0,0,0,40500,0.8073,463,22,90,52830,150,57140,2080
24,5362.0,0,0,40600,0.8075,463,22,90,52680,150,57140,2080
25,5586.0,0,0,40600,0.8076,463,22,90,52520,150,57140,2080
26,5809.0,0,0,40700,0.8078,463,22,90,52360,150,57140,2080
27,6032.0,0,0,40800,0.8079,463,22,90,52210,150,57140,2080
28,6256.0,0,0,40900,0.8081,463,22,90,52060,150,57140,2080
29,6479.0,0,0,41000,0.8082,464,13,90,51900,150,57140,2080
30,6703.0,0,0,41000,0.8095,464,0,90,51750,150,57140,2080
31,6926.0,0,0,41000,0.8096,464,0,90,51600,150,57140,2080
32,7150.0,0,0,41000,0.8096,464,0,90,51440,150,57140,2080
33,7373.0,0,0,41000,0.8097,464,0,90,51290,150,57140,2080
34,7596.0,0,0,41000,0.8095,464,-422,90,51140,140,57140,2080
35,7820.0,0,0,39400,0.8085,464,-922,90,51000,120,57140,2080
36,8043.0,0,0,36000,0.8015,460,-1422,90,50870,120,57140,2080
37,8267.0,0,0,30700,0.7558,444,-1922,90,50750,110,57140,2080
38,8490.0,0,0,23600,0.6599,400,-2422,90,50640,100,57140,2080
39,8714.0,0,0,14500,0.5,314,-2000,90,50530,90,57140,2080
40,8937.0,0,0,7100,0.3,194,-1500,90,50440,90,57140,2080
41,9160.0,0,0,1500,0.1,66,-1000,90,50350,190,57140,2080
