,ts,x,y,altitude,mach,tas,vertical_rate,heading,mass,fuel,takeoff_mass,flight_distance
0,0.0,0,0,1500,0.3,197,2500,90,57140,160,57140,600
1,91.0,0,0,5300,0.5,325,2500,90,56980,140,57140,600
2,182.0,0,0,9100,0.6523,418,2500,90,56840,140,57140,600
3,273.0,0,0,12900,0.7041,445,2500,90,56710,140,57140,600
4,364.0,0,0,16600,0.742,462,2500,90,56570,140,57140,600
5,454.0,0,0,20400,0.7766,476,2500,90,56440,130,57140,600
6,545.0,0,0,24200,0.8092,489,2500,90,56310,130,57140,600
7,636.0,0,0,28000,0.8153,485,2451,90,56180,120,57140,600
8,727.0,0,0,31700,0.8148,477,1951,90,56070,110,57140,600
9,818.0,0,0,34700,0.8129,469,1451,90,55960,90,57140,600
10,909.0,0,0,36900,0.8106,465,951,90,55870,80,57140,600
11,1000.0,0,0,38300,0.8082,464,451,90,55790,70,57140,600
12,1091.0,0,0,39000,0.8014,460,3,90,55710,60,57140,600
13,1182.0,0,0,39000,0.8044,461,22,90,55650,60,57140,600
14,1272.0,0,0,39000,0.8046,462,13,90,55580,60,57140,600
15,1363.0,0,0,39100,0.8061,462,-197,90,55520,60,57140,600
16,1454.0,0,0,38800,0.8061,462,-424,90,55460,60,57140,600
17,1545.0,0,0,38100,0.8057,462,-657,90,55400,50,57140,600
18,1636.0,0,0,37100,0.8052,462,-912,90,55340,50,57140,600
19,1727.0,0,0,35700,0.804,462,-1143,90,55290,50,57140,600
20,1818.0,0,0,34000,0.8019,464,-1419,90,55240,50,57140,600
21,1909.0,0,0,31900,0.7983,467,-1783,90,55190,50,57140,600
22,2000.0,0,0,29200,0.7913,468,-2256,90,55140,40,57140,600
23,2090.0,0,0,25700,0.7576,455,-2500,90,55090,40,57140,600
24,2181.0,0,0,22000,0.7003,427,-2500,90,55050,40,57140,600
25,2272.0,0,0,18200,0.6502,402,-2500,90,55010,40,57140,600
26,2363.0,0,0,14400,0.6059,380,-2500,90,54960,40,57140,600
27,2454.0,0,0,10600,0.5667,361,-2500,90,54920,40,57140,600
28,2545.0,0,0,6800,0.5,323,-2000,90,54880,40,57140,600
29,2636.0,0,0,3800,0.3,196,-1500,90,54840,30,57140,600
30,2727.0,0,0,1500,0.1,66,-1000,90,54810,100,57140,600
