,ts,x,y,altitude,mach,tas,vertical_rate,heading,mass,fuel,takeoff_mass,flight_distance
0,0.0,0,0,1500,0.1169,77,2385,90,75210,350,75210,3660
1,224.0,0,0,10400,0.3169,202,1885,90,75210,440,75210,3660
2,448.0,0,0,17500,0.5169,321,1385,90,74760,300,75210,3660
3,673.0,0,0,22600,0.7169,436,885,90,74460,260,75210,3660
4,897.0,0,0,25900,0.7234,434,385,90,74200,220,75210,3660
5,1121.0,0,0,27400,0.7116,424,0,90,73980,190,75210,3660
6,1345.0,0,0,27400,0.7149,426,0,90,73790,190,75210,3660
7,1570.0,0,0,27400,0.7181,428,0,90,73600,190,75210,3660
8,1794.0,0,0,27400,0.7211,430,24,90,73400,200,75210,3660
9,2018.0,0,0,27500,0.7229,431,34,90,73210,200,75210,3660
10,2242.0,0,0,27600,0.7243,431,34,90,73010,200,75210,3660
11,2467.0,0,0,27700,0.7257,432,34,90,72820,200,75210,3660
12,2691.0,0,0,27900,0.7271,432,34,90,72620,190,75210,3660
13,2915.0,0,0,28000,0.7285,433,34,90,72420,190,75210,3660
14,3139.0,0,0,28100,0.7299,434,34,90,72230,190,75210,3660
15,3364.0,0,0,28200,0.7313,434,34,90,72040,190,75210,3660
16,3588.0,0,0,28400,0.7327,435,34,90,71840,190,75210,3660
17,3812.0,0,0,28500,0.7341,435,34,90,71650,190,75210,3660
18,4036.0,0,0,28600,0.7355,436,33,90,71460,190,75210,3660
19,4261.0,0,0,28700,0.7369,437,33,90,71260,190,75210,3660
20,4485.0,0,0,28900,0.7383,437,33,90,71070,190,75210,3660
21,4709.0,0,0,29000,0.7397,438,33,90,70880,190,75210,3660
22,4933.0,0,0,29100,0.7411,438,33,90,70690,190,75210,3660
23,5158.0,0,0,29200,0.7425,439,33,90,70500,190,75210,3660
24,5382.0,0,0,29400,0.7439,440,33,90,70310,190,75210,3660
25,5606.0,0,0,29500,0.7453,440,11,90,70120,190,75210,3660
26,5830.0,0,0,29500,0.7478,442,406,90,69930,210,75210,3660
27,6055.0,0,0,31000,0.7935,466,130,90,69720,200,75210,3660
28,6279.0,0,0,31500,0.7849,459,22,90,69520,190,75210,3660
29,6503.0,0,0,31600,0.7859,460,28,90,69330,190,75210,3660
30,6727.0,0,0,31700,0.7863,460,28,90,69140,190,75210,3660
31,6952.0,0,0,31800,0.7867,460,28,90,68950,190,75210,3660
32,7176.0,0,0,31900,0.7871,460,28,90,68760,190,75210,3660
33,7400.0,0,0,32000,0.7876,460,28,90,68570,190,75210,3660
34,7624.0,0,0,32100,0.788,460,28,90,68390,190,75210,3660
35,7849.0,0,0,32200,0.7884,460,27,90,68200,190,75210,3660
36,8073.0,0,0,32300,0.7888,460,27,90,68010,190,75210,3660
37,8297.0,0,0,32400,0.7892,460,27,90,67820,190,75210,3660
38,8521.0,0,0,32500,0.7896,460,27,90,67640,190,75210,3660
39,8746.0,0,0,32600,0.79,460,27,90,67450,180,75210,3660
40,8970.0,0,0,32700,0.7903,460,27,90,67260,180,75210,3660
41,9194.0,0,0,32800,0.7907,460,27,90,67080,180,75210,3660
42,9418.0,0,0,32900,0.7911,460,27,90,66900,180,75210,3660
43,9643.0,0,0,33000,0.7914,460,27,90,66710,180,75210,3660
44,9867.0,0,0,33100,0.7918,460,27,90,66530,180,75210,3660
45,10091.0,0,0,33200,0.7921,460,27,90,66340,180,75210,3660
46,10315.0,0,0,33300,0.7924,460,27,90,66160,180,75210,3660
47,10540.0,0,0,33400,0.7928,460,27,90,65980,180,75210,3660
48,10764.0,0,0,33500,0.7931,460,27,90,65790,180,75210,3660
49,10988.0,0,0,33600,0.7934,460,27,90,65610,180,75210,3660
50,11212.0,0,0,33700,0.7937,460,27,90,65430,180,75210,3660
51,11437.0,0,0,33800,0.794,460,26,90,65250,180,75210,3660
52,11661.0,0,0,33900,0.7943,460,26,90,65070,180,75210,3660
53,11885.0,0,0,34000,0.7946,460,26,90,64890,180,75210,3660
54,12109.0,0,0,34100,0.7949,460,26,90,64710,180,75210,3660
55,12334.0,0,0,34200,0.7952,460,26,90,64530,180,75210,3660
56,12558.0,0,0,34300,0.7955,460,26,90,64350,180,75210,3660
57,12782.0,0,0,34400,0.7957,460,26,90,64170,180,75210,3660
58,13006.0,0,0,34500,0.796,460,26,90,63990,180,75210,3660
59,13231.0,0,0,34600,0.7963,460,26,90,63810,180,75210,3660
60,13455.0,0,0,34700,0.7965,460,26,90,63630,180,75210,3660
61,13679.0,0,0,34800,0.7968,460,26,90,63460,180,75210,3660
62,13903.0,0,0,34900,0.797,460,26,90,63280,180,75210,3660
63,14128.0,0,0,35000,0.7973,460,26,90,63100,170,75210,3660
64,14352.0,0,0,35100,0.7975,459,25,90,62930,170,75210,3660
65,14576.0,0,0,35200,0.7978,459,39,90,62750,170,75210,3660
66,14800.0,0,0,35400,0.7954,458,-178,90,62570,160,75210,3660
67,15025.0,0,0,34700,0.797,460,-678,90,62410,140,75210,3660
68,15249.0,0,0,32200,0.7877,460,-1178,90,62260,130,75210,3660
69,15473.0,0,0,27700,0.7381,439,-1678,90,62130,110,75210,3660
70,15697.0,0,0,21500,0.6622,404,-2178,90,62000,100,75210,3660
71,15922.0,0,0,13300,0.5,315,-1833,90,61900,90,75210,3660
72,16146.0,0,0,6500,0.3,194,-1333,90,61800,90,75210,3660
73,16370.0,0,0,1500,0.1,66,-833,90,61710,380,75210,3660
