,ts,x,y,altitude,mach,tas,vertical_rate,heading,mass,fuel,takeoff_mass,flight_distance
0,0.0,0,0,1500,0.3,197,2000,90,54470,200,54470,900
1,135.0,0,0,6000,0.5,324,2500,90,54260,200,54470,900
2,269.0,0,0,11600,0.6781,430,2500,90,54070,200,54470,900
3,404.0,0,0,17200,0.7518,467,2500,90,53870,200,54470,900
4,538.0,0,0,22800,0.8044,489,2500,90,53680,190,54470,900
5,673.0,0,0,28400,0.8109,481,2075,90,53500,160,54470,900
6,807.0,0,0,33100,0.812,472,1575,90,53340,140,54470,900
7,942.0,0,0,36600,0.8112,465,1075,90,53200,120,54470,900
8,1076.0,0,0,39000,0.8097,464,575,90,53080,110,54470,900
9,1211.0,0,0,40300,0.8084,464,75,90,52980,90,54470,900
10,1346.0,0,0,40500,0.8047,462,15,90,52880,90,54470,900
11,1480.0,0,0,40500,0.807,463,22,90,52790,90,54470,900
12,1615.0,0,0,40600,0.8071,463,22,90,52690,90,54470,900
13,1749.0,0,0,40600,0.8072,463,22,90,52600,90,54470,900
14,1884.0,0,0,40600,0.8073,463,22,90,52510,90,54470,900
15,2018.0,0,0,40700,0.8074,463,22,90,52410,90,54470,900
16,2153.0,0,0,40700,0.8075,463,22,90,52320,90,54470,900
17,2287.0,0,0,40800,0.8076,463,22,90,52230,90,54470,900
18,2422.0,0,0,40800,0.8077,463,20,90,52140,90,54470,900
19,2557.0,0,0,40900,0.8082,464,-143,90,52040,90,54470,900
20,2691.0,0,0,40600,0.8086,464,-440,90,51950,80,54470,900
21,2826.0,0,0,39600,0.8085,464,-772,90,51870,80,54470,900
22,2960.0,0,0,37800,0.8085,464,-1236,90,51790,70,54470,900
23,3095.0,0,0,35100,0.8061,465,-1736,90,51720,70,54470,900
24,3229.0,0,0,31200,0.7931,465,-2236,90,51650,60,54470,900
25,3364.0,0,0,26200,0.7326,439,-2500,90,51580,60,54470,900
26,3498.0,0,0,20600,0.6534,400,-2500,90,51520,60,54470,900
27,3633.0,0,0,15000,0.5878,368,-2500,90,51460,60,54470,900
28,3768.0,0,0,9300,0.5,320,-2000,90,51400,60,54470,900
29,3902.0,0,0,4900,0.3,195,-1500,90,51340,50,54470,900
30,4037.0,0,0,1500,0.1,66,-1000,90,51280,120,54470,900
